Configuration,total_ev_served,total_evs_spawned,total_profits,total_energy_charged,total_energy_discharged,average_user_satisfaction,power_tracker_violation,tracking_error,energy_tracking_error,energy_user_satisfaction,std_energy_user_satisfaction,min_energy_user_satisfaction,total_steps_min_emergency_battery_capacity_violation,transformer_overload_kwh,peak_transformer_loading_pct,average_transformer_loading_pct,battery_degradation,battery_degradation_calendar,battery_degradation_cycling,total_reward,action_mask,total_solver_time,average_solver_time_per_step
MPC_Np5_Nc1,17.00 ± 2.94,17.00 ± 2.94,32.26 ± 13.08,154.50 ± 35.76,270.94 ± 17.52,0.44 ± 0.01,3.65 ± 3.22,189661.00 ± 63125.22,670.66 ± 133.69,39.93 ± 1.06,4.41 ± 0.47,30.33 ± 0.33,50.00 ± 4.55,0.00 ± 0.00,19.85 ± 3.56,-4.16 ± 1.79,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,27.10 ± 14.27,0.00 ± 0.00,8.13 ± 0.18,0.07 ± 0.00
MPC_Np15_Nc5,17.33 ± 0.47,17.33 ± 0.47,37.62 ± 15.29,138.06 ± 8.73,281.43 ± 51.80,0.46 ± 0.01,2.74 ± 1.40,177223.99 ± 1805.75,648.38 ± 19.17,41.36 ± 1.23,3.33 ± 0.92,33.86 ± 2.94,45.33 ± 1.25,0.00 ± 0.00,21.52 ± 0.58,-5.12 ± 2.15,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,27.08 ± 11.67,0.00 ± 0.00,16.87 ± 3.16,0.15 ± 0.03
MPC_Np5_Nc5,17.00 ± 0.82,17.00 ± 0.82,19.40 ± 2.15,144.73 ± 5.91,308.66 ± 50.04,0.44 ± 0.01,3.41 ± 1.78,174362.00 ± 15010.69,666.57 ± 15.40,39.82 ± 0.68,4.33 ± 0.96,30.45 ± 0.86,50.33 ± 6.85,0.00 ± 0.00,19.06 ± 3.89,-5.85 ± 1.82,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,11.67 ± 2.30,0.00 ± 0.00,9.53 ± 1.18,0.09 ± 0.01
MPC_Np10_Nc10,20.67 ± 2.05,20.67 ± 2.05,47.95 ± 53.55,184.48 ± 14.32,333.55 ± 107.33,0.44 ± 0.01,2.91 ± 2.24,281453.52 ± 52539.92,818.57 ± 91.68,40.00 ± 1.03,4.38 ± 0.13,30.90 ± 0.68,64.33 ± 9.46,0.00 ± 0.00,27.03 ± 2.94,-5.32 ± 3.33,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,31.24 ± 44.89,0.00 ± 0.00,17.26 ± 7.17,0.15 ± 0.06
MPC_Np25_Nc10,19.67 ± 1.25,19.67 ± 1.25,21.42 ± 8.11,169.86 ± 20.25,294.01 ± 17.25,0.44 ± 0.01,2.89 ± 0.91,238877.16 ± 36478.47,749.69 ± 42.62,40.48 ± 0.47,4.50 ± 0.51,30.15 ± 0.23,57.33 ± 5.31,0.00 ± 0.00,22.75 ± 5.77,-4.43 ± 1.17,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,14.58 ± 8.34,0.00 ± 0.00,34.83 ± 4.52,0.31 ± 0.04
MPC_Adaptive_hmax5_Nc1,18.33 ± 1.89,18.33 ± 1.89,29.44 ± 9.20,140.31 ± 15.01,281.15 ± 25.43,0.44 ± 0.01,2.14 ± 0.71,184856.66 ± 8085.18,701.83 ± 48.37,40.41 ± 0.93,4.76 ± 1.07,30.90 ± 0.87,48.00 ± 2.16,0.00 ± 0.00,9.97 ± 6.53,-5.03 ± 1.37,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,19.70 ± 6.67,0.00 ± 0.00,9.76 ± 0.75,0.09 ± 0.01
MPC_Adaptive_hmax15_Nc5,18.67 ± 0.94,18.67 ± 0.94,11.50 ± 5.94,127.31 ± 26.26,263.81 ± 43.27,0.46 ± 0.01,2.80 ± 0.70,193242.84 ± 10460.12,693.53 ± 19.88,41.92 ± 1.03,5.80 ± 1.77,31.66 ± 1.20,38.33 ± 10.87,0.00 ± 0.00,20.22 ± 2.87,-4.87 ± 1.05,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1.59 ± 7.67,0.00 ± 0.00,14.06 ± 2.76,0.13 ± 0.02
MPC_Adaptive_hmax5_Nc5,20.00 ± 2.45,20.00 ± 2.45,45.93 ± 39.57,173.22 ± 31.70,357.99 ± 38.84,0.45 ± 0.01,1.50 ± 0.89,229174.56 ± 38817.30,762.59 ± 74.26,40.46 ± 0.60,3.77 ± 0.51,33.30 ± 1.60,61.67 ± 6.02,0.00 ± 0.00,19.58 ± 6.78,-6.60 ± 2.12,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,34.65 ± 35.38,0.00 ± 0.00,8.84 ± 0.70,0.08 ± 0.01
MPC_Adaptive_hmax10_Nc10,17.67 ± 2.62,17.67 ± 2.62,35.18 ± 15.65,149.06 ± 17.00,297.08 ± 30.60,0.45 ± 0.01,2.06 ± 1.40,195893.78 ± 39839.54,668.95 ± 75.17,41.02 ± 0.70,5.13 ± 0.84,30.91 ± 0.80,49.00 ± 5.10,0.00 ± 0.00,22.81 ± 1.21,-5.29 ± 0.80,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,23.01 ± 13.28,0.00 ± 0.00,10.50 ± 1.07,0.09 ± 0.01
MPC_Adaptive_hmax25_Nc10,19.00 ± 1.41,19.00 ± 1.41,15.91 ± 7.00,170.61 ± 12.80,328.09 ± 83.43,0.45 ± 0.01,1.72 ± 1.44,241449.01 ± 56802.31,735.67 ± 89.09,40.70 ± 1.01,4.59 ± 0.39,31.47 ± 1.04,56.33 ± 6.13,0.00 ± 0.00,25.37 ± 1.61,-5.62 ± 3.44,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,-131.51 ± 192.72,0.00 ± 0.00,21.61 ± 3.48,0.19 ± 0.03
