Configuration,total_ev_served,total_evs_spawned,total_profits,total_energy_charged,total_energy_discharged,average_user_satisfaction,power_tracker_violation,tracking_error,energy_tracking_error,energy_user_satisfaction,std_energy_user_satisfaction,min_energy_user_satisfaction,total_steps_min_emergency_battery_capacity_violation,transformer_overload_kwh,peak_transformer_loading_pct,average_transformer_loading_pct,battery_degradation,battery_degradation_calendar,battery_degradation_cycling,total_reward,action_mask,total_solver_time,average_solver_time_per_step,solver_timeouts,infeasible_steps,non_optimal_steps
MPC_Np5_Nc1,22.67 ± 0.47,22.67 ± 0.47,44.22 ± 13.81,191.27 ± 13.31,449.85 ± 7.95,0.41 ± 0.01,14.47 ± 4.26,346962.28 ± 17070.10,882.16 ± 22.89,40.58 ± 0.66,5.88 ± 0.74,30.13 ± 0.36,73.33 ± 6.18,0.00 ± 0.00,20.85 ± 4.18,-9.35 ± 0.54,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,24.58 ± 5.61,0.00 ± 0.00,14.53 ± 0.67,0.13 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Np15_Nc5,26.67 ± 3.09,26.67 ± 3.09,18.28 ± 12.00,184.19 ± 15.12,331.93 ± 76.08,0.40 ± 0.01,1.98 ± 0.81,389345.08 ± 43613.64,1033.79 ± 115.12,39.99 ± 0.88,3.96 ± 0.78,31.84 ± 2.30,56.00 ± 10.20,0.00 ± 0.00,21.33 ± 3.31,-5.34 ± 2.50,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,-4.19 ± 9.14,0.00 ± 0.00,32.89 ± 4.16,0.29 ± 0.04,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Np5_Nc5,24.33 ± 1.25,24.33 ± 1.25,23.47 ± 16.60,215.16 ± 12.11,316.13 ± 31.70,0.41 ± 0.00,3.28 ± 3.66,347323.79 ± 80199.55,927.11 ± 72.98,40.96 ± 0.41,4.15 ± 0.60,33.05 ± 1.73,61.00 ± 10.03,0.00 ± 0.00,23.10 ± 2.21,-3.65 ± 1.45,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1.00 ± 10.84,0.00 ± 0.00,14.53 ± 0.67,0.13 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Np10_Nc10,25.33 ± 0.47,25.33 ± 0.47,37.09 ± 21.23,178.70 ± 20.32,323.59 ± 37.07,0.40 ± 0.00,3.90 ± 1.71,397835.58 ± 28771.51,987.54 ± 43.06,40.42 ± 0.44,3.92 ± 0.42,31.88 ± 0.10,50.67 ± 5.73,0.00 ± 0.00,19.89 ± 5.36,-5.23 ± 1.10,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,7.54 ± 9.16,0.00 ± 0.00,21.15 ± 2.64,0.19 ± 0.02,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Np25_Nc10,24.67 ± 1.25,24.67 ± 1.25,21.84 ± 6.52,111.90 ± 21.88,294.91 ± 27.58,0.39 ± 0.01,3.42 ± 2.38,362677.79 ± 47375.84,951.77 ± 69.45,39.72 ± 0.90,4.40 ± 0.34,31.17 ± 1.01,33.33 ± 4.78,0.00 ± 0.00,22.27 ± 1.45,-6.63 ± 1.58,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,6.44 ± 12.39,0.00 ± 0.00,45.79 ± 2.51,0.41 ± 0.02,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax5_Nc1,25.33 ± 0.47,25.33 ± 0.47,26.27 ± 11.97,216.43 ± 30.95,447.00 ± 94.75,0.41 ± 0.00,0.82 ± 0.67,365423.19 ± 36883.32,948.02 ± 29.38,41.37 ± 0.34,4.65 ± 0.57,32.09 ± 0.63,77.33 ± 3.68,0.00 ± 0.00,28.16 ± 3.15,-8.35 ± 4.22,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,-211.00 ± 305.57,0.00 ± 0.00,14.40 ± 0.50,0.13 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax15_Nc5,25.67 ± 2.05,25.67 ± 2.05,34.97 ± 16.48,184.36 ± 9.20,346.74 ± 77.67,0.40 ± 0.01,4.95 ± 2.50,366526.13 ± 25275.74,980.22 ± 67.77,40.43 ± 0.92,4.25 ± 0.18,31.81 ± 1.40,50.67 ± 8.65,0.00 ± 0.00,23.78 ± 0.10,-5.88 ± 2.49,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,17.16 ± 16.57,0.00 ± 0.00,44.46 ± 16.93,0.40 ± 0.15,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax5_Nc5,23.33 ± 0.47,23.33 ± 0.47,28.38 ± 6.18,205.93 ± 13.19,425.11 ± 46.77,0.40 ± 0.01,2.10 ± 0.01,324429.25 ± 20561.23,916.88 ± 18.01,40.29 ± 0.65,5.42 ± 0.47,30.06 ± 0.25,78.33 ± 6.24,0.00 ± 0.00,26.58 ± 2.85,-7.92 ± 1.89,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,9.66 ± 4.51,0.00 ± 0.00,15.66 ± 0.33,0.14 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax10_Nc10,24.67 ± 0.47,24.67 ± 0.47,21.76 ± 9.72,174.15 ± 15.37,319.60 ± 60.74,0.40 ± 0.01,2.03 ± 0.77,349951.45 ± 22439.61,943.49 ± 29.33,40.61 ± 0.67,3.60 ± 0.15,31.98 ± 2.42,51.67 ± 3.09,0.00 ± 0.00,20.59 ± 7.68,-5.26 ± 2.74,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,11.77 ± 14.30,0.00 ± 0.00,69.33 ± 36.43,0.62 ± 0.33,0.33 ± 0.47,0.00 ± 0.00,0.00 ± 0.00
MPC_Adaptive_hmax25_Nc10,25.00 ± 0.82,25.00 ± 0.82,54.34 ± 26.77,90.96 ± 5.80,361.59 ± 11.45,0.39 ± 0.01,2.93 ± 0.91,380335.92 ± 28522.86,962.26 ± 23.81,39.54 ± 1.13,4.08 ± 0.49,31.29 ± 0.39,36.00 ± 4.24,0.00 ± 0.00,9.88 ± 4.25,-9.79 ± 0.29,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,-151.11 ± 230.70,0.00 ± 0.00,47.69 ± 1.04,0.43 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
