Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_ev_served_std,total_profits_mean,total_profits_std,total_energy_charged_mean,total_energy_charged_std,total_energy_discharged_mean,total_energy_discharged_std,average_user_satisfaction_mean,average_user_satisfaction_std,power_tracker_violation_mean,power_tracker_violation_std,tracking_error_mean,tracking_error_std,energy_tracking_error_mean,energy_tracking_error_std,energy_user_satisfaction_mean,energy_user_satisfaction_std,std_energy_user_satisfaction_mean,std_energy_user_satisfaction_std,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_std,total_steps_min_emergency_battery_capacity_violation_mean,total_steps_min_emergency_battery_capacity_violation_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,peak_transformer_loading_pct_mean,peak_transformer_loading_pct_std,average_transformer_loading_pct_mean,average_transformer_loading_pct_std,battery_degradation_mean,battery_degradation_std,battery_degradation_calendar_mean,battery_degradation_calendar_std,battery_degradation_cycling_mean,battery_degradation_cycling_std,total_reward_mean,total_reward_std,action_mask_mean,action_mask_std,execution_time_mean,execution_time_std,calendar_degradation_mean,calendar_degradation_std,cyclic_degradation_mean,cyclic_degradation_std,profit_per_ev_mean,profit_per_ev_std
AFAP,Discharge Price Factor,1.0,16.0,0.0,-71.2930922476537,0.0,366.1798501532611,0.0,0.0,0.0,1.0,0.0,357.5367805562597,0.0,22817.334807399788,0.0,220.1007190686634,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,37.1474176806351,0.0,64.5036275961431,0.0,13.077851791187896,0.0,0.004497364362417179,0.0,0.0009618514676945335,0.0,0.0035355128947226456,0.0,-1517.5047290683804,0.0,0.0,0.0,0.07868123054504395,0.0,6.037135194711155e-05,0.0,0.00022334970669909182,0.0,-2.851723689906148,0.0
ALAP,Discharge Price Factor,1.0,16.0,0.0,-53.345412524174094,0.0,210.13576687791604,0.0,0.0,0.0,0.8876205023774121,0.0,230.90276773376362,0.0,49816.78170558909,0.0,312.8277959327604,0.0,83.70540924922378,0.0,14.854684943586237,0.0,61.419753086419746,0.0,0.0,0.0,10.241681575887252,0.0,69.62999999999997,0.0,7.504848817068428,0.0,0.0020796175725393976,0.0,0.0006177997199507077,0.0,0.00146181785258869,0.0,-184.18888663205846,0.0,0.0,0.0,0.04968118667602539,0.0,3.910449176088905e-05,0.0,9.027352377820025e-05,0.0,-2.133816500966964,0.0
RR,Discharge Price Factor,1.0,16.0,0.0,-36.791986412121055,0.0,175.59544975202954,0.0,0.0,0.0,0.8352324442604444,0.0,0.0,0.0,27827.101834384874,0.0,231.91672919176509,0.0,80.12065977644858,0.0,21.437759674088674,0.0,44.88695652173913,0.0,0.0,0.0,1.2345024746260194,0.0,29.700000000000017,0.0,6.271266062572484,0.0,0.0020440360825175947,0.0,0.0007119242467614356,0.0,0.0013321118357561593,0.0,-22.069283924726474,0.0,0.0,0.0,0.05471467971801758,0.0,4.4721226545309836e-05,0.0,8.316208870657823e-05,0.0,-1.471679456484842,0.0
Online_MPC_NonAdaptive,Discharge Price Factor,1.0,16.0,0.0,1.5398495871408509,0.0,32.632623355544965,0.0,48.15823687887209,0.0,0.6596650398437612,0.0,26.341077187138083,0.0,84718.73387588002,0.0,436.2083310606907,0.0,60.26071024094434,0.0,29.378137253921366,0.0,15.625,0.0,0.0,0.0,0.0,0.0,9.900000000000007,0.0,-0.554486197261683,0.0,0.0011750490256807835,0.0,0.0005617658713471019,0.0,0.0006132831543336815,0.0,-1.836601382655106,0.0,0.0,0.0,11.994980096817017,0.0,3.5106726327665275e-05,0.0,3.8366853880135996e-05,0.0,0.06159398348563403,0.0
Online_MPC_Adaptive,Discharge Price Factor,1.0,16.0,0.0,7.697918454863029,0.0,36.32326526321288,0.0,77.06378674002431,0.0,0.6295641989399462,0.0,21.85486899793863,0.0,92138.34872399065,0.0,459.1801349195753,0.0,57.669907226652874,0.0,26.836690820607043,0.0,15.432098765432102,0.0,0.0,0.0,0.0,0.0,19.800000000000004,0.0,-1.4550186241718368,0.0,0.0014703162168165785,0.0,0.0005299611976144609,0.0,0.0009403550192021176,0.0,-1.6140991433922478,0.0,0.0,0.0,13.558496236801147,0.0,3.3080907830850894e-05,0.0,5.870684225014776e-05,0.0,0.30791673819452114,0.0
AFAP,Discharge Price Factor,5.75,18.0,0.0,-161.25872929805766,0.0,621.4677108174724,0.0,0.0,0.0,1.0,0.0,741.796674902831,0.0,70032.33770600634,0.0,426.41127152019544,0.0,99.98008608864292,0.0,0.07495449436469634,0.0,99.67241379310346,0.0,0.0,0.0,142.33073226642375,0.0,119.45999999999995,0.0,22.195275386338295,0.0,0.0067693344447137946,0.0,0.0009591127019029529,0.0,0.005810221742810841,0.0,-9740.056310091606,0.0,0.0,0.0,0.0720667839050293,0.0,5.36915366983279e-05,0.0,0.00032695318009812906,0.0,-10.750581953203843,0.0
ALAP,Discharge Price Factor,5.75,18.0,0.0,-97.97320829999997,0.0,347.6549999999999,0.0,0.0,0.0,0.8291397271204628,0.0,204.54591115590287,0.0,92494.32081878692,0.0,431.5986004642037,0.0,75.16565945439045,0.0,9.85009946955119,0.0,61.350649350649356,0.0,0.0,0.0,146.97385829183173,0.0,79.86,0.0,12.416249999999994,0.0,0.0025346492699749464,0.0,0.0003746396220438612,0.0,0.0021600096479310856,0.0,-6009.740557714038,0.0,0.0,0.0,0.05065608024597168,0.0,2.1494688109495278e-05,0.0,0.00011862526589238387,0.0,-6.5315472199999975,0.0
RR,Discharge Price Factor,5.75,18.0,0.0,-85.56633737480858,0.0,327.56273018650063,0.0,0.0,0.0,0.8023031633507914,0.0,0.0,0.0,47251.98713416241,0.0,349.4179146997516,0.0,73.68730395120569,0.0,15.765148582626582,0.0,46.61038961038961,0.0,0.0,0.0,17.659276251801998,0.0,39.93,0.0,11.698668935232165,0.0,0.002564212565054248,0.0,0.0005603059422951002,0.0,0.002003906622759148,0.0,-234.7983943069521,0.0,0.0,0.0,0.05750584602355957,0.0,3.150621322594287e-05,0.0,0.00011120357863500634,0.0,-5.704422491653905,0.0
Online_MPC_NonAdaptive,Discharge Price Factor,5.75,18.0,0.0,73.88242485851868,0.0,0.0,0.0,45.517615516237406,0.0,0.43588209442842696,0.0,0.0,0.0,181775.9136879067,0.0,722.4982604024898,0.0,39.389030899580135,0.0,18.37208561930842,0.0,16.558441558441558,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.6256291255799071,0.0,0.0005540772078920823,0.0,0.00023466318360807576,0.0,0.00031941402428400635,0.0,-0.20653432493046886,0.0,0.0,0.0,12.29546332359314,0.0,1.301820234676182e-05,0.0,1.775261768549896e-05,0.0,4.925494990567912,0.0
Online_MPC_Adaptive,Discharge Price Factor,5.75,18.0,0.0,84.98189566047742,0.0,0.0,0.0,54.66580994621132,0.0,0.42641334425704486,0.0,0.0,0.0,188206.09099051,0.0,731.6464548324636,0.0,38.536843384155745,0.0,18.637226199033535,0.0,17.24137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9523503552218329,0.0,0.0006342410018951113,0.0,0.0002366587038015672,0.0,0.00039758229809354383,0.0,0.7520719949017587,0.0,0.0,0.0,12.932313203811646,0.0,1.31151425917116e-05,0.0,2.2118158567058393e-05,0.0,5.665459710698495,0.0
