Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_evs_spawned_mean,total_profits_mean,total_energy_charged_mean,total_energy_discharged_mean,average_user_satisfaction_mean,power_tracker_violation_mean,tracking_error_mean,energy_tracking_error_mean,energy_user_satisfaction_mean,std_energy_user_satisfaction_mean,min_energy_user_satisfaction_mean,total_steps_min_emergency_battery_capacity_violation_mean,transformer_overload_kwh_mean,peak_transformer_loading_pct_mean,average_transformer_loading_pct_mean,battery_degradation_mean,battery_degradation_calendar_mean,battery_degradation_cycling_mean,total_reward_mean,action_mask_mean,execution_time_mean,v2g_time_percentage_mean,average_v2g_power_mean,calendar_degradation_mean,cyclic_degradation_mean,profit_per_ev_mean
DDPG,EV Spawn Multiplier,1,5.0,5.0,25.795706225356234,10.946524557926345,131.305,0.3491884716078174,0.0,15716.18404516164,206.0201192866363,33.42696244470358,33.31178794129494,15.432098765432102,4.0,0.0,0.0,-4.337625044745009,0.001058917947574628,0.00010624437887595315,0.0009526735686986751,22.407673976280044,0.0,0.07752084732055664,76.28205128205127,4.413613445378152,2.0911291728863038e-05,0.00019234774100467385,5.159141245071247
SAC,EV Spawn Multiplier,1,5.0,5.0,-6.826504525693057,95.51992522017022,70.13182311005258,0.821463934699317,102.74584632330578,7489.988927178116,111.64646489609791,79.93175412293854,32.07636190121215,17.24137931034483,2.0,0.0,18.504658072381332,0.9149672854105784,0.0013550996097296604,0.0001864966677128052,0.0011686029420168553,-6.736512876584515,0.0,0.09104704856872559,44.230769230769226,4.065612933916092,3.756577545792126e-05,0.00023771626374957607,-1.3653009051386114
TD3,EV Spawn Multiplier,1,5.0,5.0,13.663964709807667,20.88786983256743,94.18,0.5072344486193117,12.254933646944052,12773.114542130903,165.08124083546724,49.65110037573806,41.115928711200816,15.432098765432102,3.0,0.0,9.990070562018756,-2.6413908802789114,0.0010594454658484531,0.00012618705136761723,0.000933258414480836,14.257206535959403,0.0,0.09282875061035156,66.66666666666666,3.6223076923076927,2.5076892934612517e-05,0.0001882011821076203,2.7327929419615336
AFAP,EV Spawn Multiplier,1,5.0,5.0,-18.869891543273575,83.80208874582074,0.0,1.0,204.97557484590823,5154.741339240069,104.347342521696,100.0,0.0,100.0,0.0,0.0,39.96028224807497,3.0201615433452607,0.001278235809304552,0.0003183571607880182,0.0009598786485165337,-18.869891543273564,0.0,0.023538589477539062,0.0,0.0,6.378424162635767e-05,0.00019259995156650656,-3.7739783086547147
ALAP,EV Spawn Multiplier,1,5.0,5.0,-12.766951147714572,52.766166952171055,0.0,0.9591220850480109,101.87032294391057,2836.735918188786,83.83063836434692,90.13412108760433,9.000272958672982,73.82716049382717,0.0,0.0,19.980141124037498,1.9016512667368348,0.0005864416207550599,0.00022149544015564234,0.00036494618059941764,-12.504613990499227,0.0,0.028069496154785156,0.0,0.0,4.46965523852341e-05,7.302641505972116e-05,-2.5533902295429143
RR,EV Spawn Multiplier,1,5.0,5.0,-13.588718373522765,61.72987606996678,0.0,0.9593964334705076,0.0,573.9003863890781,23.931767774595887,93.16164325244786,10.88197986577551,71.72839506172839,0.0,0.0,9.990070562018756,2.2246963121343457,0.0008077822025743023,0.00026445180992233636,0.0005433303926519659,-13.447035034882276,0.0,0.025583744049072266,0.0,0.0,5.312150972565773e-05,0.00010942625634728107,-2.717743674704553
Online_MPC_NonAdaptive,EV Spawn Multiplier,1,5.0,5.0,20.909183434564977,37.69832526544022,136.125,0.44633637913553503,7.064129384726341,20435.500467600043,187.62038327148565,40.17027412219816,2.5398898001476105,36.40432098765432,20.0,0.0,6.046777304129726,-3.5472201507327563,0.0009422722815554303,0.00010085315177691094,0.0008414191297785194,19.228620664521237,0.0,10.89701509475708,35.256410256410255,9.9,2.000810126728371e-05,0.00016749547728190913,4.1818366869129955
Online_MPC_Adaptive,EV Spawn Multiplier,1,5.0,5.0,20.909183434564977,37.69832526544022,136.125,0.44633637913553503,7.064129384726341,20435.500467600043,187.62038327148565,40.17027412219816,2.5398898001476105,36.40432098765432,20.0,0.0,6.046777304129726,-3.5472201507327563,0.0009422722815554303,0.00010085315177691094,0.0008414191297785194,19.228620664521237,0.0,9.409724235534668,35.256410256410255,9.9,2.000810126728371e-05,0.00016749547728190913,4.1818366869129955
DDPG,EV Spawn Multiplier,3,11.0,11.0,37.64284881199642,31.208739648146445,217.36,0.333481766401899,0.0,90088.14853985615,477.6069231001999,31.831540794352726,32.19729697112623,12.987012987012985,6.0,0.0,0.0,-6.7087454044867965,0.00224473061337048,0.0001890775909412356,0.002055653022429245,32.122452072378124,0.0,0.10012006759643555,78.53260869565217,3.0084429065743947,1.7029489954191035e-05,0.00018812594217510633,3.4220771647269475
SAC,EV Spawn Multiplier,3,11.0,11.0,-0.06818319431997999,214.6497319199666,224.34469512628,0.5934460992470642,13.523176273977642,36077.84496081234,307.9122140916485,57.00021627230312,34.918832612980474,17.391304347826086,6.0,0.0,15.377729770358735,-0.34939886914590984,0.003389149888241001,0.0003424151008258482,0.0030467347874151528,0.6401708855936222,0.0,0.11542391777038574,55.97826086956522,4.356207672354951,3.115312607237668e-05,0.00027986672764394605,-0.006198472210907272
