Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_evs_spawned_mean,total_profits_mean,total_energy_charged_mean,total_energy_discharged_mean,average_user_satisfaction_mean,power_tracker_violation_mean,tracking_error_mean,energy_tracking_error_mean,energy_user_satisfaction_mean,std_energy_user_satisfaction_mean,min_energy_user_satisfaction_mean,total_steps_min_emergency_battery_capacity_violation_mean,transformer_overload_kwh_mean,peak_transformer_loading_pct_mean,average_transformer_loading_pct_mean,battery_degradation_mean,battery_degradation_calendar_mean,battery_degradation_cycling_mean,total_reward_mean,action_mask_mean,execution_time_mean,v2g_time_percentage_mean,average_v2g_power_mean,calendar_degradation_mean,cyclic_degradation_mean,profit_per_ev_mean
DDPG,Number of Charging Stations,5,5.0,5.0,-2.1702954422290786,73.31471548437952,55.12250000000001,0.5018964273274619,0.0,15317.144746551234,186.62963067535202,49.17067845947156,41.52418618353484,12.987012987012985,1.0,0.0,19.980141124037505,0.6556331759321843,0.001179670103506786,6.67836572386237e-05,0.0011128864462681622,-2.1749452685921393,0.0,0.0947115421295166,68.96551724137932,2.2049000000000003,1.3513866695099214e-05,0.00022558650459748096,-0.4340590884458157
SAC,Number of Charging Stations,5,5.0,5.0,-8.362537784424998,121.02178431740067,79.711546600281,0.5692268746579091,18.669553157617358,14967.109240496593,172.8463850214205,55.23041871921182,37.84986945089866,15.625,2.0,0.0,29.210116674135183,1.4887885632315803,0.0015283753575315064,0.00012489566329314768,0.001403479694238359,-8.91487642025059,0.0,0.08975744247436523,46.206896551724135,4.758898304494388,2.4980219035910623e-05,0.0002845756190561927,-1.6725075568849994
TD3,Number of Charging Stations,5,5.0,5.0,-23.183429353963415,138.68607577021783,32.515,0.7431417624521073,86.61527372116333,10675.739418025323,141.95840725009532,72.29574563367666,34.090260248653514,17.24137931034483,0.0,0.0,20.617160352351142,3.826322289285407,0.0016711373494382327,0.00013478283494833092,0.0015363545144899018,-23.11063829155539,0.0,0.059865713119506836,42.06896551724138,2.1321311475409837,2.736459241791496e-05,0.00031015484804192644,-4.636685870792683
AFAP,Number of Charging Stations,5,5.0,5.0,-38.88649464497608,187.0033429919505,0.0,1.0,123.61262914183168,3403.9005944136043,79.62481773869685,100.0,0.0,100.0,0.0,0.0,31.745394151943017,6.739453794455192,0.001929532138681481,0.0002463386212513188,0.001683193517430162,-38.88649464497608,0.0,0.015867948532104492,0.0,0.0,4.9736492244536276e-05,0.0003415774530067365,-7.777298928995217
ALAP,Number of Charging Stations,5,5.0,5.0,-21.68917575,101.88749999999999,0.0,0.8145358684294216,135.84054661531252,14809.82773277022,170.85461946738775,73.30822815864795,9.578484552157388,60.72727272727273,0.0,0.0,39.96028224807497,3.671945578599152,0.0007193148267764239,9.870180686691828e-05,0.0006206130199095056,-21.033164978032634,0.0,0.014347076416015625,0.0,0.0,2.0437659241655573e-05,0.00012280031720389518,-4.33783515
RR,Number of Charging Stations,5,5.0,5.0,-24.55270039920037,118.28805961520706,0.0,0.8506519207928502,0.0,4387.749701554722,86.53378654452443,78.66729356101169,14.202501186582229,62.077922077922075,0.0,0.0,19.619922455182557,4.2630088823960985,0.0008823207646213398,0.0001623930647003239,0.000719927699921016,-24.32299545537304,0.0,0.016133546829223633,0.0,0.0,3.293089268122687e-05,0.00014523809653831617,-4.910540079840073
Online_MPC_NonAdaptive,Number of Charging Stations,5,5.0,5.0,1.576248668758438,48.07751585352298,54.45750000000001,0.43447120987666343,1.3374380877726546,20488.84343216804,211.87054935009485,39.10240888889971,4.54379718076844,30.55844155844156,15.0,0.0,7.649806259477601,-0.22992962412650225,0.0006622830463948637,6.524438041333683e-05,0.0005970386659815269,1.0773058652499201,0.0,9.065467119216919,15.172413793103448,9.901363636363639,1.3070960923348811e-05,0.0001193856695459272,0.31524973375168763
Online_MPC_Adaptive,Number of Charging Stations,5,5.0,5.0,1.576248668758438,48.07751585352298,54.45750000000001,0.43447120987666343,1.3374380877726546,20488.84343216804,211.87054935009485,39.10240888889971,4.54379718076844,30.55844155844156,15.0,0.0,7.649806259477601,-0.22992962412650225,0.0006622830463948637,6.524438041333683e-05,0.0005970386659815269,1.0773058652499201,0.0,9.733835935592651,15.172413793103448,9.901363636363639,1.3070960923348811e-05,0.0001193856695459272,0.31524973375168763
DDPG,Number of Charging Stations,15,14.0,14.0,1.4117758484852636,179.52112000417628,182.38000000000002,0.4815105927902024,0.0,80869.66606247847,460.33328411210096,46.90368734126601,39.59023263948824,15.432098765432102,5.0,0.0,29.84738911623921,-0.10303179252028316,0.003409610346207681,0.0002826597345651156,0.0031269506116425655,-2.042658454533579,0.0,0.0879049301147461,68.23770491803278,2.190750750750751,2.0245369966210516e-05,0.0002255329054738435,0.10084113203466169
SAC,Number of Charging Stations,15,14.0,14.0,-2.8894771890718136,213.5573738317657,206.95602921671775,0.5090393581694176,0.0,81878.09042903052,450.8730595012292,47.493161800464975,34.43819506908051,15.432098765432102,4.0,0.0,17.371238847217,0.2379072817768124,0.003692872179332284,0.00031221546807773935,0.0033806567112545437,-3.368919421409999,0.0,0.10553836822509766,64.54918032786885,2.628013069418638,2.2381450256134316e-05,0.00024144100210766737,-0.20639122779084382
TD3,Number of Charging Stations,15,14.0,14.0,-12.229862756307238,199.54639801765688,153.98820927304945,0.5385164560576854,115.68379999343414,98157.40865612146,469.75811536838677,52.64359485638237,40.79399095555672,17.24137931034483,3.0,0.0,30.30321403812351,1.6418813861341859,0.003349237676449128,0.0003440083976343358,0.0030052292788147928,-12.035267153636154,0.0,0.08890151977539062,61.065573770491795,2.066955829168449,2.4710038775754745e-05,0.00021562835533893893,-0.873561625450517
AFAP,Number of Charging Stations,15,14.0,14.0,-88.84001928498697,427.92115015477935,0.0,1.0,635.2342653083638,51152.094521994186,347.1703866156798,99.9963054187192,0.013321002249254222,99.94827586206895,0.0,1.8106273380667304,96.63122798170858,15.421942586675561,0.0051932687056050605,0.0008960933225546798,0.00429717538305038,-87.24315460528307,0.0,0.030714035034179688,0.0,0.0,6.43289362591068e-05,0.0003095576110142462,-6.345715663213355
ALAP,Number of Charging Stations,15,14.0,14.0,-59.195109181990276,236.7629538457807,0.0,0.836592479203125,381.3699803829597,76476.42390820032,411.39644046197645,76.13537977852755,11.359694733788736,62.96296296296296,0.0,2.00971575445978,100.23370797225475,8.532751137775385,0.001830098239894816,0.0003897741433037954,0.0014403240965910205,-58.51443488954992,0.0,0.027738332748413086,0.0,0.0,2.850315763487602e-05,0.0001020445154180508,-4.228222084427877
RR,Number of Charging Stations,15,14.0,14.0,-47.92743376973756,226.76616772309052,0.0,0.8138361219291694,0.0,23962.353666957166,230.70823639318678,75.07349042532799,16.93702870713654,48.65740740740741,0.0,0.0,30.30321403812352,8.172474807475655,0.001943517689076806,0.0005404444068291736,0.0014030732822476323,-47.06126961642812,0.0,0.03411722183227539,0.0,0.0,3.896134486036081e-05,0.00010046649106171576,-3.423388126409826
Online_MPC_NonAdaptive,Number of Charging Stations,15,14.0,14.0,10.359064910749865,139.91883816627748,189.17250000000004,0.46068105915011726,0.0,103150.24800168714,506.72806594999975,41.461295323510555,3.4102969463145145,37.31481481481482,45.0,0.0,19.117324183410435,-1.7750633375061238,0.001973199016852098,0.00026626093260201497,0.001706938084250083,7.225365052637272,0.0,8.69200086593628,15.573770491803279,9.956447368421054,1.9018103982599054e-05,0.00012171743643221585,0.7399332079107046
Online_MPC_Adaptive,Number of Charging Stations,15,14.0,14.0,10.359064910749865,139.91883816627748,189.17250000000004,0.46068105915011726,0.0,103150.24800168714,506.72806594999975,41.461295323510555,3.4102969463145145,37.31481481481482,45.0,0.0,19.117324183410435,-1.7750633375061238,0.001973199016852098,0.00026626093260201497,0.001706938084250083,7.225365052637272,0.0,10.039615154266357,15.573770491803279,9.956447368421054,1.9018103982599054e-05,0.00012171743643221585,0.7399332079107046
DDPG,Number of Charging Stations,25,25.0,25.0,43.91961177881044,167.46300768635882,374.6775,0.456505295658596,0.0,302082.7882574633,926.3881822662928,43.39255793380598,38.85753421465773,12.987012987012985,12.0,0.0,20.095180009762153,-7.46784776221561,0.005327593180633774,0.0005345472398140223,0.004793045940819752,21.33567208122458,0.0,0.2133646011352539,68.40796019900498,2.724927272727273,2.1321310794089837e-05,0.00019304706126257646,1.7567844711524176
SAC,Number of Charging Stations,25,25.0,25.0,-21.945419115697668,460.3993949328294,378.6713344372463,0.6698804023149493,3.0011077278246585,173793.86922888883,638.9461833209809,61.574045654106754,32.580844892924176,17.24137931034483,8.0,0.0,53.39934084394121,2.945415192091675,0.007869536576917812,0.0008511484248207652,0.007018388152097048,-20.39236010893017,0.0,0.1915416717529297,46.26865671641791,4.071734778895121,3.4122034820768816e-05,0.0002810780971401963,-0.8778167646279067
TD3,Number of Charging Stations,25,25.0,25.0,-7.946934953933443,445.0296883995902,439.0043454918366,0.5865700671510274,84.35402100439319,237657.3398208419,755.3253575470951,56.819623816841286,39.28408230822983,15.432098765432102,11.0,0.0,47.53869609734986,0.21714863206644194,0.008106597671618025,0.0008742329469626914,0.007232364724655334,-17.113743438821132,0.0,0.309309720993042,47.636815920398014,4.584901780593594,3.4871596937102496e-05,0.0002904811481997232,-0.31787739815733773
AFAP,Number of Charging Stations,25,25.0,25.0,-139.96573697754482,648.0850944056498,0.0,1.0,947.82327184793,120547.70110728794,545.000231470967,99.99514242878563,0.018067204944304832,99.91304347826087,0.0,79.01382221754525,130.03521085531372,23.35647843905131,0.008100693574451015,0.0015292573787491998,0.006571436195701816,-3263.8431589254637,0.0,0.06511855125427246,0.0,0.0,6.144605535039924e-05,0.00026535007515575166,-5.598629479101793
ALAP,Number of Charging Stations,25,25.0,25.0,-89.28734466384567,372.0707719126967,0.0,0.883585271392084,364.43628276386795,125199.72620173584,529.321059421889,81.3329498411022,11.792254668762252,57.64578833693306,0.0,3.974852307433057,100.23370797225472,13.409138764331253,0.0030556746887867156,0.0008618480194145362,0.0021938266693721795,-100.54594272360411,0.0,0.23463034629821777,0.0,0.0,3.502764226637076e-05,8.720503123801221e-05,-3.5714937865538268
