Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_evs_spawned_mean,total_profits_mean,total_energy_charged_mean,total_energy_discharged_mean,average_user_satisfaction_mean,power_tracker_violation_mean,tracking_error_mean,energy_tracking_error_mean,energy_user_satisfaction_mean,std_energy_user_satisfaction_mean,min_energy_user_satisfaction_mean,total_steps_min_emergency_battery_capacity_violation_mean,transformer_overload_kwh_mean,peak_transformer_loading_pct_mean,average_transformer_loading_pct_mean,battery_degradation_mean,battery_degradation_calendar_mean,battery_degradation_cycling_mean,total_reward_mean,action_mask_mean,execution_time_mean,v2g_time_percentage_mean,average_v2g_power_mean,calendar_degradation_mean,cyclic_degradation_mean,profit_per_ev_mean
DDPG,Transformer Max Power (kW),25,25.0,25.0,38.44773710292376,219.85638920086413,416.74500000000006,0.40970653715936356,0.0,326063.0046571854,916.0623007517879,43.49734480867821,38.78258159887077,12.987012987012983,14.0,23.999579169269946,79.4849654402237,-28.38284436856009,0.005807958911589343,0.0004630128094420349,0.0053449461021473086,-21670.733185359863,0.0,0.168503999710083,72.01492537313433,2.8790673575129535,1.849222743258868e-05,0.0002158956253935837,1.5379094841169507
SAC,Transformer Max Power (kW),25,25.0,25.0,34.471776338677834,220.71084266891543,420.95241757564617,0.43159093901669143,9.362529873353907,372418.12296786456,924.0965297960598,43.839782258643616,37.148363256789,12.987012987012983,12.0,3.111708919620364,79.54822376668803,-28.86619715393944,0.005855948410869786,0.000569908226700714,0.005286040184169071,-11901.690883166708,0.0,0.17075665791829428,64.92537313432835,3.22568902356817,2.270207668506169e-05,0.00021174467183846944,1.3788710535471134
TQC,Transformer Max Power (kW),25,25.0,25.0,-0.6002198362218811,462.80505969409813,483.2948917998688,0.5560280445964194,15.459395100815605,256383.5266139036,747.3932196088302,54.606778877056094,35.72506311827321,15.432098765432102,16.0,144.12690506046795,297.392324947845,-2.9537499067902946,0.00792127777860792,0.0007496193796799345,0.007171658398927988,-22584.606487901907,0.0,0.23363947868347168,52.48756218905473,4.580994235069847,2.996686686079329e-05,0.0002871663210895871,-0.024008793448875246
AFAP,Transformer Max Power (kW),25,25.0,25.0,-139.96573697754482,648.0850944056498,0.0,0.9982252623688156,947.82327184793,120547.70110728794,545.000231470967,99.99514242878563,0.018067204944304832,99.91304347826087,0.0,548.9835918600962,520.1408434212549,93.42591375620525,0.008100693574451015,0.0015292573787491998,0.006571436195701816,-40254.78286915209,0.0,0.10333490371704102,0.0,0.0,6.144605535039924e-05,0.00026535007515575166,-5.598629479101793
ALAP,Transformer Max Power (kW),25,25.0,25.0,-89.28734466384567,372.0707719126967,0.0,0.8144901789417812,364.43628276386795,125199.72620173584,529.321059421889,81.3329498411022,11.792254668762252,57.64578833693306,0.0,309.15636941395644,400.9348318890189,53.63655505732501,0.003055674688786715,0.0008618480194145362,0.0021938266693721795,-13345.58259962698,0.0,0.09364509582519531,0.0,0.0,3.502764226637076e-05,8.720503123801221e-05,-3.5714937865538268
RR,Transformer Max Power (kW),25,25.0,25.0,-68.61404575010964,317.0792037164814,0.0,0.7828492450491674,0.0,68040.35782265641,402.09448623617044,77.69678912700165,18.310367483491405,43.14782608695652,0.0,225.04149644378504,174.684850264543,45.7091431295291,0.0032913960590427193,0.0010485677104804375,0.0022428283485622824,-8099.1072299683465,0.0,0.09214123090108235,0.0,0.0,4.2206793880502964e-05,9.006972479666872e-05,-2.7445618300043857
Online_MPC_NonAdaptive,Transformer Max Power (kW),25,25.0,25.0,50.38130722501743,196.87584024086993,446.415,0.4019200804878078,1.3214289500043912,358785.66122553946,969.3735641867838,40.31557221736624,3.5364696020800026,31.25974025974026,84.0,14.528754817215267,75.7247626145462,-35.972782308522056,0.0036730815978547695,0.0004493534291196037,0.0032237281687351664,-21768.312879917885,0.0,16.49786440531413,22.512437810945272,9.865524861878454,1.7932802520946565e-05,0.00012893568966521193,2.0152522890006974
Online_MPC_Adaptive,Transformer Max Power (kW),25,25.0,25.0,50.38130722501743,196.87584024086993,446.415,0.4019200804878078,1.3214289500043912,358785.66122553946,969.3735641867838,40.31557221736624,3.5364696020800026,31.25974025974026,84.0,14.528754817215267,75.7247626145462,-35.972782308522056,0.0036730815978547695,0.0004493534291196037,0.0032237281687351664,-21768.312879917885,0.0,16.07589070002238,22.512437810945272,9.865524861878454,1.7932802520946565e-05,0.00012893568966521193,2.0152522890006974
DDPG,Transformer Max Power (kW),50,25.0,25.0,38.44773710292376,219.85638920086413,416.74500000000006,0.40970653715936356,0.0,326063.0046571854,916.0623007517879,43.49734480867821,38.78258159887077,12.987012987012983,14.0,10.924880915190535,39.74248272011185,-14.191422184280045,0.005807958911589343,0.0004630128094420349,0.0053449461021473086,-11218.147713167413,0.0,0.12026079495747884,72.01492537313433,2.8790673575129535,1.849222743258868e-05,0.0002158956253935837,1.5379094841169507
SAC,Transformer Max Power (kW),50,25.0,25.0,30.50460517806614,235.36176498945085,416.49637381276597,0.4422707960419017,2.711869408645912,348121.93601568264,901.6642334802895,45.05554892196708,35.82931647513158,12.987012987012983,12.0,5.893571370310016,94.1644928541895,-13.05589843700274,0.006088560146054703,0.0005875029581062102,0.005501057187948491,-6131.141060160454,0.0,0.15817483266194662,64.30348258706468,3.222409081723528,2.341187246974595e-05,0.0002202703017128127,1.2201842071226456
TQC,Transformer Max Power (kW),50,25.0,25.0,20.15503150455426,421.31430029971335,543.7738989756081,0.49087883383386033,12.318487059652876,325294.6316287705,847.792532158373,47.87624774729871,33.37533424622137,15.432098765432102,12.0,97.63622770436909,123.79909723363328,-8.82669575590682,0.007999825380729297,0.000665155638365725,0.007334669742363573,-5352.221903979427,0.0,0.1270305315653483,60.19900497512438,4.49399916508767,2.6519072814032782e-05,0.00029395882783332715,0.8062012601821703
AFAP,Transformer Max Power (kW),50,25.0,25.0,-139.96573697754482,648.0850944056498,0.0,0.9982252623688156,947.82327184793,120547.70110728794,545.000231470967,99.99514242878563,0.018067204944304832,99.91304347826087,0.0,482.56835509541605,260.07042171062744,46.712956878102624,0.008100693574451015,0.0015292573787491998,0.006571436195701816,-21694.71344763077,0.0,0.04740262031555176,0.0,0.0,6.144605535039924e-05,0.00026535007515575166,-5.598629479101793
ALAP,Transformer Max Power (kW),50,25.0,25.0,-89.28734466384567,372.0707719126967,0.0,0.8144901789417812,364.43628276386795,125199.72620173584,529.321059421889,81.3329498411022,11.792254668762252,57.64578833693306,0.0,248.7169578877537,200.46741594450944,26.818277528662506,0.003055674688786715,0.0008618480194145362,0.0021938266693721795,-6549.206538917431,0.0,0.05452322959899902,0.0,0.0,3.502764226637076e-05,8.720503123801221e-05,-3.5714937865538268
RR,Transformer Max Power (kW),50,25.0,25.0,-68.61404575010964,317.0792037164814,0.0,0.7828492450491674,0.0,68040.35782265641,402.09448623617044,77.69678912700165,18.310367483491405,43.14782608695652,0.0,170.6813909559243,87.3424251322715,22.85457156476455,0.0032913960590427193,0.0010485677104804375,0.0022428283485622824,-165.81483098603832,0.0,0.05226763089497884,0.0,0.0,4.2206793880502964e-05,9.006972479666872e-05,-2.7445618300043857
Online_MPC_NonAdaptive,Transformer Max Power (kW),50,25.0,25.0,50.46521865501277,201.96305470449622,451.365,0.401821993664901,1.3214289500043912,358594.9925511521,969.2363497231578,40.32940192851705,3.5739639510650636,31.25974025974026,86.0,7.823621472262903,37.8623813072731,-17.976500950987177,0.0037190321961059537,0.00044967462785524263,0.0032693575682507113,-10423.986735144072,0.0,14.80207101504008,22.761194029850746,9.865901639344262,1.7945296543549104e-05,0.00013080369760322635,2.018608746200511
Online_MPC_Adaptive,Transformer Max Power (kW),50,25.0,25.0,50.46521865501277,201.96305470449622,451.365,0.401821993664901,1.3214289500043912,358594.9925511521,969.2363497231578,40.32940192851705,3.5739639510650636,31.25974025974026,86.0,7.823621472262903,37.8623813072731,-17.976500950987177,0.0037190321961059537,0.00044967462785524263,0.0032693575682507113,-10423.986735144072,0.0,15.207412878672281,22.761194029850746,9.865901639344262,1.7945296543549104e-05,0.00013080369760322635,2.018608746200511
DDPG,Transformer Max Power (kW),100,25.0,25.0,38.44773710292376,219.85638920086413,416.74500000000006,0.40970653715936356,0.0,326063.0046571854,916.0623007517879,43.49734480867821,38.78258159887077,12.987012987012983,14.0,4.9925852701741,19.871241360055926,-7.095711092140022,0.005807958911589343,0.0004630128094420349,0.0053449461021473086,17.14207303028216,0.0,0.14650185902913412,72.01492537313433,2.8790673575129535,1.849222743258868e-05,0.0002158956253935837,1.5379094841169507
SAC,Transformer Max Power (kW),100,25.0,25.0,18.807879316077834,303.69603509988144,428.7572715005311,0.4778243732028699,0.34410002142866375,309724.4174999002,844.4069763640158,48.81794304240939,33.83417765505252,12.987012987012983,14.0,6.698493947701433,56.08997543028952,-4.507108860807348,0.006430071330973799,0.0006046568439112997,0.005825414487062499,13.819602146098285,0.0,0.13792904218037924,58.457711442786064,3.6489980553236685,2.417056947921458e-05,0.00023279542692692366,0.7523151726431133
TQC,Transformer Max Power (kW),100,25.0,25.0,85.16259998788954,301.342718569231,720.339706353438,0.29513222285046864,0.0,539460.7209289478,1138.1706777368581,29.08457309289311,24.03268260819128,12.987012987012983,18.0,67.43900145169617,52.86005697669012,-15.10032277502718,0.008019682607863544,0.0004232722320514236,0.0075964103758121215,-1247.5430501180374,0.0,0.1802051067352295,75.12437810945273,4.770461631479722,1.6633423996711765e-05,0.00030404443547342984,3.406503999515581
AFAP,Transformer Max Power (kW),100,25.0,25.0,-139.96573697754482,648.0850944056498,0.0,0.9982252623688156,947.82327184793,120547.70110728794,545.000231470967,99.99514242878563,0.018067204944304832,99.91304347826087,0.0,397.09246019486983,130.03521085531372,23.356478439051312,0.008100693574451015,0.0015292573787491998,0.006571436195701816,-1350.960984564642,0.0,0.07504439353942871,0.0,0.0,6.144605535039924e-05,0.00026535007515575166,-5.598629479101793
ALAP,Transformer Max Power (kW),100,25.0,25.0,-89.28734466384567,372.0707719126967,0.0,0.8144901789417812,364.43628276386795,125199.72620173584,529.321059421889,81.3329498411022,11.792254668762252,57.64578833693306,0.0,143.95440219275596,100.23370797225472,13.409138764331253,0.003055674688786715,0.0008618480194145362,0.0021938266693721795,-1024.0004122834243,0.0,0.06954391797383626,0.0,0.0,3.502764226637076e-05,8.720503123801221e-05,-3.5714937865538268
RR,Transformer Max Power (kW),100,25.0,25.0,-68.61404575010964,317.0792037164814,0.0,0.7828492450491674,0.0,68040.35782265641,402.09448623617044,77.69678912700165,18.310367483491405,43.14782608695652,0.0,116.1833572185504,43.67121256613575,11.427285782382276,0.0032913960590427193,0.0010485677104804375,0.0022428283485622824,-66.7372142488964,0.0,0.05363790194193522,0.0,0.0,4.2206793880502964e-05,9.006972479666872e-05,-2.7445618300043857
