Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_ev_served_std,total_profits_mean,total_profits_std,total_energy_charged_mean,total_energy_charged_std,total_energy_discharged_mean,total_energy_discharged_std,average_user_satisfaction_mean,average_user_satisfaction_std,power_tracker_violation_mean,power_tracker_violation_std,tracking_error_mean,tracking_error_std,energy_tracking_error_mean,energy_tracking_error_std,energy_user_satisfaction_mean,energy_user_satisfaction_std,std_energy_user_satisfaction_mean,std_energy_user_satisfaction_std,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_std,total_steps_min_emergency_battery_capacity_violation_mean,total_steps_min_emergency_battery_capacity_violation_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,peak_transformer_loading_pct_mean,peak_transformer_loading_pct_std,average_transformer_loading_pct_mean,average_transformer_loading_pct_std,battery_degradation_mean,battery_degradation_std,battery_degradation_calendar_mean,battery_degradation_calendar_std,battery_degradation_cycling_mean,battery_degradation_cycling_std,total_reward_mean,total_reward_std,action_mask_mean,action_mask_std,execution_time_mean,execution_time_std,calendar_degradation_mean,calendar_degradation_std,cyclic_degradation_mean,cyclic_degradation_std,profit_per_ev_mean,profit_per_ev_std
AFAP,Discharge Price Factor,0.5,24.0,0.0,-141.5611536987035,0.0,499.29071730739594,0.0,0.0,0.0,1.0,0.0,682.4237658800279,0.0,67532.11576025475,0.0,379.75328498808636,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,455.4329719727771,0.0,133.30583445075072,0.0,18.053782664539447,0.0,0.006850391030232537,0.0,0.0015914825014199368,0.0,0.005258908528812601,0.0,-250.63389672352454,0.0,0.0,0.0,0.04919075965881348,0.0,6.653592950739298e-05,0.0,0.00022059185354805053,0.0,-5.66244614794814,0.0
ALAP,Discharge Price Factor,0.5,24.0,0.0,-153.07841875760414,0.0,275.63072151612914,0.0,0.0,0.0,0.8767874042297027,0.0,612.1280287864206,0.0,134022.72669331654,0.0,568.2654122325494,0.0,82.10918105208088,0.0,14.911281577595838,0.0,57.64578833693306,0.0,0.0,0.0,87.00518182675691,0.0,73.95933026993201,0.0,9.966492404982432,0.0,0.0027467071357445074,0.0,0.0009783152077977376,0.0,0.0017683919279467696,0.0,-167.0446134327208,0.0,0.0,0.0,0.037575721740722656,0.0,4.1236763662625896e-05,0.0,7.375854365683828e-05,0.0,-6.123136750304166,0.0
RR,Discharge Price Factor,0.5,24.0,0.0,-64.96883699131413,0.0,215.7981742214618,0.0,0.0,0.0,0.8148975215282672,0.0,0.0,0.0,52683.30289959708,0.0,322.03394513400656,0.0,77.72425451281492,0.0,20.32180432105686,0.0,47.710583153347734,0.0,0.0,0.0,182.60750399055445,0.0,40.09294289786869,0.0,7.803015761657102,0.0,0.002859644796492815,0.0,0.0011544274998689587,0.0,0.001705217296623856,0.0,-58.666404810186876,0.0,0.0,0.0,0.04133963584899902,0.0,4.8270928735667124e-05,0.0,7.12003716078789e-05,0.0,-2.5987534796525655,0.0
SAC,Discharge Price Factor,0.5,24.0,0.0,-97.29857047803243,0.0,338.52236353551297,0.0,369.1656669739661,0.0,0.6017261772340268,0.0,295.74179306336913,0.0,299485.7983222336,0.0,716.3463193256054,0.0,59.444534960347845,0.0,37.160061617989804,0.0,15.625,0.0,10.0,0.0,64.25217196336935,0.0,50.03838533913188,0.0,-1.1080268893939067,0.0,0.005581441192125302,0.0,0.0006121973432419264,0.0,0.004969243848883375,0.0,-1554.9467582763511,0.0,0.0,0.0,0.13714599609375,0.0,2.5750437077559806e-05,0.0,0.00020616881736257284,0.0,-3.8919428191212972,0.0
DDPG,Discharge Price Factor,0.5,24.0,0.0,12.962606518091729,0.0,183.25352999554661,0.0,408.48500000000007,0.0,0.4869548654007012,0.0,0.0,0.0,261191.94102065545,0.0,763.0635893599211,0.0,46.47314491270936,0.0,38.11942162550199,0.0,15.432098765432102,0.0,9.0,0.0,10.324471689817056,0.0,6.276167062231696,0.0,-8.144112974108568,0.0,0.005516010972167464,0.0,0.0006714282413761592,0.0,0.004844582730791304,0.0,-13.544444058705857,0.0,0.0,0.0,0.07630157470703125,0.0,2.7885166367267854e-05,0.0,0.00020302320221642263,0.0,0.5185042607236692,0.0
DDPG+PER,Discharge Price Factor,0.5,24.0,0.0,-21.115824841165637,0.0,277.8544056764098,0.0,347.38500000000005,0.0,0.6210920413427331,0.0,13.615371652636966,0.0,161026.389383169,0.0,614.1703995053765,0.0,59.709143004376266,0.0,40.53639107044064,0.0,15.432098765432102,0.0,9.0,0.0,46.90575363882901,0.0,20.517777355847898,0.0,-2.5141469587577356,0.0,0.006143047761235384,0.0,0.0008598102517564466,0.0,0.005283237509478938,0.0,-33.06473330006458,0.0,0.0,0.0,0.07881307601928711,0.0,3.5825211773733305e-05,0.0,0.00022164734744804703,0.0,-0.8446329936466255,0.0
TQC,Discharge Price Factor,0.5,24.0,0.0,11.995853863009048,0.0,371.39364888948126,0.0,660.8572430423219,0.0,0.44761923980707524,0.0,71.37198504560686,0.0,343012.120012464,0.0,862.981706031112,0.0,42.37941122763079,0.0,30.797816719053472,0.0,15.432098765432102,0.0,12.0,0.0,77.29886391521543,0.0,46.66020544371554,0.0,-10.466673296700653,0.0,0.009491664724477076,0.0,0.000705470658011711,0.0,0.008786194066465365,0.0,-8336.856311965048,0.0,0.0,0.0,0.09745097160339355,0.0,2.9117198270528897e-05,0.0,0.0003643524055480553,0.0,0.47983415452036193,0.0
Online_MPC_NonAdaptive,Discharge Price Factor,0.5,24.0,0.0,20.24865962857965,0.0,26.46121083730244,0.0,135.35750000000002,0.0,0.5787578721789096,0.0,0.0,0.0,172445.3430025215,0.0,646.7284085181656,0.0,53.56288663911054,0.0,21.848677121746846,0.0,17.391304347826086,0.0,3.0,0.0,16.330188204881964,0.0,13.788751656632915,0.0,-3.9375655692549008,0.0,0.001975739840379141,0.0,0.0008202119236034895,0.0,0.0011555279167756516,0.0,8.996148549854647,0.0,0.0,0.0,9.393936395645142,0.0,3.4072107333528704e-05,0.0,4.808403323672312e-05,0.0,0.809946385143186,0.0
Online_MPC_Adaptive,Discharge Price Factor,0.5,24.0,0.0,25.5924077892475,0.0,17.385251857747583,0.0,151.7775,0.0,0.566210946371059,0.0,0.0,0.0,179131.9892872036,0.0,672.2243674977202,0.0,52.217989465479725,0.0,22.95690039431808,0.0,17.391304347826086,0.0,5.0,0.0,10.781416495131701,0.0,5.021471234153676,0.0,-4.859470355955564,0.0,0.002023089861937658,0.0,0.0008274588878117022,0.0,0.001195630974125956,0.0,10.19700056465247,0.0,0.0,0.0,11.703004121780396,0.0,3.434651535186273e-05,0.0,4.958779055678908e-05,0.0,1.0236963115699,0.0
AFAP,Discharge Price Factor,0.8,26.0,0.0,-82.77017947784903,0.0,695.8699636596237,0.0,0.0,0.0,0.9954374664519593,0.0,857.1455585651911,0.0,99730.91783997623,0.0,485.72741062976075,0.0,99.9985014985015,0.0,0.0074925074925065345,0.0,99.96103896103897,0.0,0.0,0.0,340.8615503583935,0.0,140.98992179170992,0.0,25.173331418451912,0.0,0.007958588006368453,0.0,0.001498701878108163,0.0,0.00645988612826029,0.0,-13533.598343703587,0.0,0.0,0.0,0.047887563705444336,0.0,5.795934869913091e-05,0.0,0.0002519309957676199,0.0,-3.9414371179928107,0.0
