Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_ev_served_std,total_evs_spawned_mean,total_evs_spawned_std,total_profits_mean,total_profits_std,total_energy_charged_mean,total_energy_charged_std,total_energy_discharged_mean,total_energy_discharged_std,average_user_satisfaction_mean,average_user_satisfaction_std,power_tracker_violation_mean,power_tracker_violation_std,tracking_error_mean,tracking_error_std,energy_tracking_error_mean,energy_tracking_error_std,energy_user_satisfaction_mean,energy_user_satisfaction_std,std_energy_user_satisfaction_mean,std_energy_user_satisfaction_std,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_std,total_steps_min_emergency_battery_capacity_violation_mean,total_steps_min_emergency_battery_capacity_violation_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,peak_transformer_loading_pct_mean,peak_transformer_loading_pct_std,average_transformer_loading_pct_mean,average_transformer_loading_pct_std,battery_degradation_mean,battery_degradation_std,battery_degradation_calendar_mean,battery_degradation_calendar_std,battery_degradation_cycling_mean,battery_degradation_cycling_std,total_reward_mean,total_reward_std,action_mask_mean,action_mask_std,execution_time_mean,execution_time_std,calendar_degradation_mean,calendar_degradation_std,cyclic_degradation_mean,cyclic_degradation_std,profit_per_ev_mean,profit_per_ev_std
AFAP,Discharge Price Factor,0.5,25.0,0.0,25.0,0.0,-139.96573697754482,0.0,648.0850944056498,0.0,0.0,0.0,1.0,0.0,947.82327184793,0.0,120547.70110728794,0.0,545.000231470967,0.0,99.99514242878563,0.0,0.018067204944304832,0.0,99.91304347826087,0.0,0.0,0.0,79.01382221754525,0.0,130.03521085531372,0.0,23.35647843905131,0.0,0.008100693574451015,0.0,0.0015292573787491998,0.0,0.006571436195701816,0.0,-3399.0496355439386,0.0,0.0,0.0,0.04379534721374512,0.0,6.144605535039924e-05,0.0,0.00026535007515575166,0.0,-5.598629479101793,0.0
ALAP,Discharge Price Factor,0.5,25.0,0.0,25.0,0.0,-89.28734466384567,0.0,372.0707719126967,0.0,0.0,0.0,0.883585271392084,0.0,364.43628276386795,0.0,125199.72620173584,0.0,529.321059421889,0.0,81.3329498411022,0.0,11.792254668762252,0.0,57.64578833693306,0.0,0.0,0.0,3.974852307433057,0.0,100.23370797225472,0.0,13.409138764331253,0.0,0.0030556746887867156,0.0,0.0008618480194145362,0.0,0.0021938266693721795,0.0,-100.5564781288429,0.0,0.0,0.0,0.06313180923461914,0.0,3.502764226637076e-05,0.0,8.720503123801221e-05,0.0,-3.5714937865538268,0.0
RR,Discharge Price Factor,0.5,25.0,0.0,25.0,0.0,-68.61404575010964,0.0,317.0792037164814,0.0,0.0,0.0,0.8338885589147838,0.0,0.0,0.0,68040.35782265641,0.0,402.0944862361704,0.0,77.69678912700165,0.0,18.310367483491405,0.0,43.14782608695652,0.0,0.0,0.0,0.0,0.0,43.67121256613575,0.0,11.427285782382274,0.0,0.0032913960590427198,0.0,0.0010485677104804375,0.0,0.0022428283485622824,0.0,-63.032557597091355,0.0,0.0,0.0,0.05645418167114258,0.0,4.2206793880502964e-05,0.0,9.006972479666872e-05,0.0,-2.7445618300043857,0.0
SAC,Discharge Price Factor,0.5,25.0,0.0,25.0,0.0,11.115002983079908,0.0,162.71273395273272,0.0,454.32986774335103,0.0,0.38431722281401687,0.0,24.039421220359927,0.0,430178.59184976737,0.0,1022.8105343534501,0.0,37.83128068924809,0.0,32.14234639989425,0.0,12.987012987012985,0.0,13.0,0.0,0.0,0.0,35.66113394510859,0.0,-10.509652754913198,0.0,0.005462875659106162,0.0,0.00043510670101911574,0.0,0.0050277689580870465,0.0,-6.438036984732205,0.0,0.0,0.0,0.1106255054473877,0.0,1.7310052107844832e-05,0.0,0.0002019726245548184,0.0,0.4446001193231963,0.0
DDPG,Discharge Price Factor,0.5,25.0,0.0,25.0,0.0,-2.307272317076239,0.0,219.85638920086413,0.0,416.745,0.0,0.4247537513775814,0.0,0.0,0.0,326063.0046571854,0.0,916.0623007517879,0.0,43.49734480867821,0.0,38.78258159887077,0.0,12.987012987012985,0.0,14.0,0.0,0.0,0.0,19.871241360055926,0.0,-7.095711092140022,0.0,0.005807958911589343,0.0,0.0004630128094420349,0.0,0.0053449461021473086,0.0,-20.576691892936616,0.0,0.0,0.0,0.11118602752685547,0.0,1.849222743258868e-05,0.0,0.0002158956253935837,0.0,-0.09229089268304955,0.0
DDPG+PER,Discharge Price Factor,0.5,25.0,0.0,25.0,0.0,-38.47485676898913,0.0,318.65976393395005,0.0,304.64750000000004,0.0,0.561431934913991,0.0,0.23940061792391942,0.0,208938.82487906874,0.0,705.2811263276637,0.0,56.90286160535443,0.0,41.41152632077,0.0,15.432098765432102,0.0,9.0,0.0,0.0,0.0,20.09541271273143,0.0,0.504991000843401,0.0,0.006161781182495139,0.0,0.0007239274858433917,0.0,0.005437853696651746,0.0,-35.58605280244991,0.0,0.0,0.0,0.09536504745483398,0.0,2.8999599327751213e-05,0.0,0.0002198468287909816,0.0,-1.5389942707595652,0.0
TQC,Discharge Price Factor,0.5,25.0,0.0,25.0,0.0,6.137857389857765,0.0,224.75996091994105,0.0,566.7008510360769,0.0,0.36727503892128616,0.0,30.693140683775944,0.0,549982.9507001279,0.0,1076.4611504106763,0.0,33.99963362466067,0.0,26.867068442223875,0.0,15.432098765432102,0.0,18.0,0.0,0.0,0.0,42.53905920790563,0.0,-12.323281458512616,0.0,0.006078844346114333,0.0,0.00033128753188772005,0.0,0.005747556814226614,0.0,-4722.476814095455,0.0,0.0,0.0,0.1188514232635498,0.0,1.3177487896306727e-05,0.0,0.0002309256596828027,0.0,0.2455142955943106,0.0
Online_MPC_NonAdaptive,Discharge Price Factor,0.5,25.0,0.0,25.0,0.0,2.2081304575667957,0.0,58.67327376074029,0.0,129.54749999999999,0.0,0.578566782261,0.0,0.0,0.0,224536.01889665655,0.0,790.0479161919116,0.0,51.58597641073646,0.0,21.864426391765985,0.0,16.188271604938272,0.0,5.0,0.0,0.0,0.0,12.784558360716398,0.0,-2.554251519331476,0.0,0.0020335865823638078,0.0,0.0007515467532541093,0.0,0.001282039829109699,0.0,-8.537699755315447,0.0,0.0,0.0,9.286275148391724,0.0,2.9987696421908625e-05,0.0,5.132719141423474e-05,0.0,0.08832521830267183,0.0
Online_MPC_Adaptive,Discharge Price Factor,0.5,25.0,0.0,25.0,0.0,6.949926707949992,0.0,36.97305212996959,0.0,135.03,0.0,0.5584852162285764,0.0,0.0,0.0,243005.51564082183,0.0,817.2306378226821,0.0,50.03205453952857,0.0,23.130020938347165,0.0,17.037037037037038,0.0,3.0,0.0,0.0,0.0,8.861266723908418,0.0,-3.5338954845519397,0.0,0.0018803308787930446,0.0,0.0007113733440684891,0.0,0.0011689575347245556,0.0,-5.569105329375887,0.0,0.0,0.0,11.284708261489868,0.0,2.8374706486475353e-05,0.0,4.6825545049921605e-05,0.0,0.27799706831799964,0.0
AFAP,Discharge Price Factor,0.8,25.0,0.0,25.0,0.0,-139.96573697754482,0.0,648.0850944056498,0.0,0.0,0.0,1.0,0.0,947.82327184793,0.0,120547.70110728794,0.0,545.000231470967,0.0,99.99514242878563,0.0,0.018067204944304832,0.0,99.91304347826087,0.0,0.0,0.0,79.01382221754525,0.0,130.03521085531372,0.0,23.35647843905131,0.0,0.008100693574451015,0.0,0.0015292573787491998,0.0,0.006571436195701816,0.0,-3399.0496355439386,0.0,0.0,0.0,0.05782675743103027,0.0,6.144605535039924e-05,0.0,0.00026535007515575166,0.0,-5.598629479101793,0.0
ALAP,Discharge Price Factor,0.8,25.0,0.0,25.0,0.0,-89.28734466384567,0.0,372.0707719126967,0.0,0.0,0.0,0.883585271392084,0.0,364.43628276386795,0.0,125199.72620173584,0.0,529.321059421889,0.0,81.3329498411022,0.0,11.792254668762252,0.0,57.64578833693306,0.0,0.0,0.0,3.974852307433057,0.0,100.23370797225472,0.0,13.409138764331253,0.0,0.0030556746887867156,0.0,0.0008618480194145362,0.0,0.0021938266693721795,0.0,-100.5564781288429,0.0,0.0,0.0,0.03236699104309082,0.0,3.502764226637076e-05,0.0,8.720503123801221e-05,0.0,-3.5714937865538268,0.0
RR,Discharge Price Factor,0.8,25.0,0.0,25.0,0.0,-68.61404575010964,0.0,317.0792037164814,0.0,0.0,0.0,0.8338885589147838,0.0,0.0,0.0,68040.35782265641,0.0,402.0944862361704,0.0,77.69678912700165,0.0,18.310367483491405,0.0,43.14782608695652,0.0,0.0,0.0,0.0,0.0,43.67121256613575,0.0,11.427285782382274,0.0,0.0032913960590427198,0.0,0.0010485677104804375,0.0,0.0022428283485622824,0.0,-63.032557597091355,0.0,0.0,0.0,0.04787707328796387,0.0,4.2206793880502964e-05,0.0,9.006972479666872e-05,0.0,-2.7445618300043857,0.0
SAC,Discharge Price Factor,0.8,25.0,0.0,25.0,0.0,39.95349085078541,0.0,162.71273395273272,0.0,454.32986774335103,0.0,0.38431722281401687,0.0,24.039421220359927,0.0,430178.59184976737,0.0,1022.8105343534501,0.0,37.83128068924809,0.0,32.14234639989425,0.0,12.987012987012985,0.0,13.0,0.0,0.0,0.0,35.66113394510859,0.0,-10.509652754913198,0.0,0.005462875659106162,0.0,0.00043510670101911574,0.0,0.0050277689580870465,0.0,21.10111879455841,0.0,0.0,0.0,0.09558987617492676,0.0,1.7310052107844832e-05,0.0,0.0002019726245548184,0.0,1.5981396340314162,0.0
DDPG,Discharge Price Factor,0.8,25.0,0.0,25.0,0.0,24.862733962923766,0.0,219.85638920086413,0.0,416.745,0.0,0.4247537513775814,0.0,0.0,0.0,326063.0046571854,0.0,916.0623007517879,0.0,43.49734480867821,0.0,38.78258159887077,0.0,12.987012987012985,0.0,14.0,0.0,0.0,0.0,19.871241360055926,0.0,-7.095711092140022,0.0,0.005807958911589343,0.0,0.0004630128094420349,0.0,0.0053449461021473086,0.0,5.158592996819619,0.0,0.0,0.0,0.08933568000793457,0.0,1.849222743258868e-05,0.0,0.0002158956253935837,0.0,0.9945093585169507,0.0
DDPG+PER,Discharge Price Factor,0.8,25.0,0.0,25.0,0.0,-19.206971463989117,0.0,318.65976393395005,0.0,304.64750000000004,0.0,0.561431934913991,0.0,0.23940061792391942,0.0,208938.82487906874,0.0,705.2811263276637,0.0,56.90286160535443,0.0,41.41152632077,0.0,15.432098765432102,0.0,9.0,0.0,0.0,0.0,20.09541271273143,0.0,0.504991000843401,0.0,0.006161781182495139,0.0,0.0007239274858433917,0.0,0.005437853696651746,0.0,-16.31816749744991,0.0,0.0,0.0,0.07933187484741211,0.0,2.8999599327751213e-05,0.0,0.0002198468287909816,0.0,-0.7682788585595647,0.0
TQC,Discharge Price Factor,0.8,25.0,0.0,25.0,0.0,41.87331586284167,0.0,224.75996091994105,0.0,566.7008510360769,0.0,0.36727503892128616,0.0,30.693140683775944,0.0,549982.9507001279,0.0,1076.4611504106763,0.0,33.99963362466067,0.0,26.867068442223875,0.0,15.432098765432102,0.0,18.0,0.0,0.0,0.0,42.53905920790563,0.0,-12.323281458512616,0.0,0.006078844346114333,0.0,0.00033128753188772005,0.0,0.005747556814226614,0.0,-4704.796103860154,0.0,0.0,0.0,0.0832371711730957,0.0,1.3177487896306727e-05,0.0,0.0002309256596828027,0.0,1.6749326345136668,0.0
Online_MPC_NonAdaptive,Discharge Price Factor,0.8,25.0,0.0,25.0,0.0,8.213670709684422,0.0,70.36316844022694,0.0,127.78250000000001,0.0,0.5887482311202445,0.0,0.0,0.0,216994.3883519886,0.0,776.593021512425,0.0,52.520579754094214,0.0,22.36082597903487,0.0,17.021604938271604,0.0,4.0,0.0,0.0,0.0,17.917692634870754,0.0,-2.0693476692138635,0.0,0.0020812247432900758,0.0,0.0007559588789960351,0.0,0.0013252658642940415,0.0,-3.1497551337470693,0.0,0.0,0.0,7.81599497795105,0.0,3.0185808995068215e-05,0.0,5.299405550293248e-05,0.0,0.32854682838737687,0.0
Online_MPC_Adaptive,Discharge Price Factor,0.8,25.0,0.0,25.0,0.0,13.978902913687925,0.0,46.00607509420952,0.0,135.3925,0.0,0.5660784163310761,0.0,0.0,0.0,240034.51320919718,0.0,808.560114858442,0.0,50.664440966678576,0.0,22.251534527264376,0.0,17.391304347826086,0.0,4.0,0.0,0.0,0.0,9.229673528690514,0.0,-3.2214166381509273,0.0,0.0018960373414964057,0.0,0.0007162468363712247,0.0,0.001179790505125181,0.0,1.1926777459353144,0.0,0.0,0.0,9.76552677154541,0.0,2.8577279302503025e-05,0.0,4.7307334848870995e-05,0.0,0.559156116547517,0.0
AFAP,Discharge Price Factor,1.0,25.0,0.0,25.0,0.0,-139.96573697754482,0.0,648.0850944056498,0.0,0.0,0.0,1.0,0.0,947.82327184793,0.0,120547.70110728794,0.0,545.000231470967,0.0,99.99514242878563,0.0,0.018067204944304832,0.0,99.91304347826087,0.0,0.0,0.0,79.01382221754525,0.0,130.03521085531372,0.0,23.35647843905131,0.0,0.008100693574451015,0.0,0.0015292573787491998,0.0,0.006571436195701816,0.0,-3399.0496355439386,0.0,0.0,0.0,0.04942464828491211,0.0,6.144605535039924e-05,0.0,0.00026535007515575166,0.0,-5.598629479101793,0.0
ALAP,Discharge Price Factor,1.0,25.0,0.0,25.0,0.0,-89.28734466384567,0.0,372.0707719126967,0.0,0.0,0.0,0.883585271392084,0.0,364.43628276386795,0.0,125199.72620173584,0.0,529.321059421889,0.0,81.3329498411022,0.0,11.792254668762252,0.0,57.64578833693306,0.0,0.0,0.0,3.974852307433057,0.0,100.23370797225472,0.0,13.409138764331253,0.0,0.0030556746887867156,0.0,0.0008618480194145362,0.0,0.0021938266693721795,0.0,-100.5564781288429,0.0,0.0,0.0,0.06284809112548828,0.0,3.502764226637076e-05,0.0,8.720503123801221e-05,0.0,-3.5714937865538268,0.0
RR,Discharge Price Factor,1.0,25.0,0.0,25.0,0.0,-68.61404575010964,0.0,317.0792037164814,0.0,0.0,0.0,0.8338885589147838,0.0,0.0,0.0,68040.35782265641,0.0,402.0944862361704,0.0,77.69678912700165,0.0,18.310367483491405,0.0,43.14782608695652,0.0,0.0,0.0,0.0,0.0,43.67121256613575,0.0,11.427285782382274,0.0,0.0032913960590427198,0.0,0.0010485677104804375,0.0,0.0022428283485622824,0.0,-63.032557597091355,0.0,0.0,0.0,0.04719901084899902,0.0,4.2206793880502964e-05,0.0,9.006972479666872e-05,0.0,-2.7445618300043857,0.0
