Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_ev_served_std,total_profits_mean,total_profits_std,total_energy_charged_mean,total_energy_charged_std,total_energy_discharged_mean,total_energy_discharged_std,average_user_satisfaction_mean,average_user_satisfaction_std,power_tracker_violation_mean,power_tracker_violation_std,tracking_error_mean,tracking_error_std,energy_tracking_error_mean,energy_tracking_error_std,energy_user_satisfaction_mean,energy_user_satisfaction_std,std_energy_user_satisfaction_mean,std_energy_user_satisfaction_std,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_std,total_steps_min_emergency_battery_capacity_violation_mean,total_steps_min_emergency_battery_capacity_violation_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,peak_transformer_loading_pct_mean,peak_transformer_loading_pct_std,average_transformer_loading_pct_mean,average_transformer_loading_pct_std,battery_degradation_mean,battery_degradation_std,battery_degradation_calendar_mean,battery_degradation_calendar_std,battery_degradation_cycling_mean,battery_degradation_cycling_std,total_reward_mean,total_reward_std,action_mask_mean,action_mask_std,execution_time_mean,execution_time_std,calendar_degradation_mean,calendar_degradation_std,cyclic_degradation_mean,cyclic_degradation_std,profit_per_ev_mean,profit_per_ev_std
AFAP,EV Desired Capacity (%),0.6,22.0,0.0,-145.7024346133264,0.0,519.2051009847489,0.0,0.0,0.0,1.0,0.0,521.0430274367536,0.0,41602.23432913152,0.0,306.5017767657751,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,703.0723225939846,0.0,118.60976288781706,0.0,18.757817073715014,0.0,0.006413590913063128,0.0,0.0013482467744154337,0.0,0.005065344138647694,0.0,-145.70243461332635,0.0,0.0,0.0,0.10227322578430176,0.0,6.154124122483851e-05,0.0,0.00023263173470539086,0.0,-6.0709347755552665,0.0
ALAP,EV Desired Capacity (%),0.6,22.0,0.0,-151.01055437754306,0.0,297.7118896323409,0.0,0.0,0.0,0.9981315780451849,0.0,627.8739535628422,0.0,139841.185979785,0.0,581.4104511812274,0.0,82.93991654657682,0.0,14.977928952433434,0.0,57.64578833693306,0.0,0.0,0.0,491.32490941069716,0.0,111.80877955539617,0.0,10.755720919925094,0.0,0.002822748151525419,0.0,0.0008047698796817005,0.0,0.0020179782718437187,0.0,-2565.5219849784826,0.0,0.0,0.0,0.11001443862915039,0.0,3.70824218483173e-05,0.0,9.062100805830213e-05,0.0,-6.2921064323976275,0.0
RR,EV Desired Capacity (%),0.6,22.0,0.0,-68.61559923881113,0.0,223.47795357573153,0.0,0.0,0.0,0.9422213212870613,0.0,0.0,0.0,57366.758028182056,0.0,341.7074104564158,0.0,77.29923641620755,0.0,22.572649970245745,0.0,42.66304347826087,0.0,0.0,0.0,417.63217971304016,0.0,40.72631796327167,0.0,8.073800825976253,0.0,0.00264012423285569,0.0,0.0009490023613927407,0.0,0.0016911218714629485,0.0,-66.59977052529362,0.0,0.0,0.0,0.13918352127075195,0.0,4.3318434197140435e-05,0.0,7.684417225026562e-05,0.0,-2.85898330161713,0.0
SAC,EV Desired Capacity (%),0.6,22.0,0.0,6.158203859009161,0.0,317.17412300210935,0.0,293.7508737901174,0.0,0.7792930705156128,0.0,43.003064865438716,0.0,127926.07667380392,0.0,563.2636472528745,0.0,63.18394819324069,0.0,34.382962504263645,0.0,15.432098765432102,0.0,6.0,0.0,260.0154871558105,0.0,46.60539271086681,0.0,0.8462340280502972,0.0,0.00624213934151422,0.0,0.0008930693959736876,0.0,0.005349069945540533,0.0,-2.625993596804736,0.0,0.0,0.0,0.1656639575958252,0.0,4.05602814592092e-05,0.0,0.00024289308562924113,0.0,0.25659182745871506,0.0
DDPG,EV Desired Capacity (%),0.6,22.0,0.0,82.66990535026402,0.0,193.79054840325614,0.0,457.95500000000004,0.0,0.5049423407050149,0.0,29.365594561498895,0.0,277409.82061223546,0.0,844.0326129096409,0.0,40.689193492479355,0.0,36.63937241102488,0.0,15.432098765432102,0.0,10.0,0.0,63.543797317758006,0.0,10.014668351624172,0.0,-9.543720681926658,0.0,0.005486405426573448,0.0,0.0005387680469728784,0.0,0.00494763737960057,0.0,51.57806937515114,0.0,0.0,0.0,0.1604323387145996,0.0,2.432103402170028e-05,0.0,0.0002254506424476825,0.0,3.444579389594334,0.0
DDPG+PER,EV Desired Capacity (%),0.6,22.0,0.0,25.006411520073044,0.0,289.58422027009266,0.0,336.55500000000006,0.0,0.6542227578252224,0.0,17.69834900265723,0.0,154274.40684327553,0.0,621.0053182633833,0.0,58.32979920027305,0.0,41.68459421746575,0.0,12.987012987012985,0.0,7.0,0.0,195.53334952050483,0.0,21.194973178907585,0.0,-1.696958085181147,0.0,0.0057597234004988064,0.0,0.0007872132746855405,0.0,0.0049725101258132655,0.0,7.9289812674135804,0.0,0.0,0.0,0.14388108253479004,0.0,3.572925657585635e-05,0.0,0.00022737124653495917,0.0,1.041933813336377,0.0
TQC,EV Desired Capacity (%),0.6,22.0,0.0,100.80732945245138,0.0,528.0317217733783,0.0,698.098564416997,0.0,0.6200512019635012,0.0,220.18031671667,0.0,428036.824767661,0.0,845.342365034101,0.0,48.14844537708114,0.0,35.11923685919519,0.0,15.432098765432102,0.0,25.0,0.0,438.68505072969776,0.0,101.3618903764052,0.0,-6.144166762928208,0.0,0.010295181786287778,0.0,0.0007526585910213814,0.0,0.009542523195266397,0.0,-11799.2764323356,0.0,0.0,0.0,0.17554473876953125,0.0,3.3876299802649414e-05,0.0,0.00043335419152031827,0.0,4.200305393852141,0.0
Online_MPC_NonAdaptive,EV Desired Capacity (%),0.6,22.0,0.0,32.21785732731537,0.0,31.742994189166485,0.0,125.68818477627242,0.0,0.7347229719824625,0.0,0.0,0.0,180045.68357358742,0.0,659.130554619253,0.0,53.20350035381519,0.0,27.757406100741772,0.0,17.391304347826086,0.0,1.0,0.0,156.66573379856968,0.0,7.431422619842511,0.0,-3.394047355555526,0.0,0.001810157018462905,0.0,0.0006764362560860487,0.0,0.0011337207623768565,0.0,25.217352429411438,0.0,0.0,0.0,10.645221710205078,0.0,3.064971614761001e-05,0.0,5.160633672987029e-05,0.0,1.3424107219714738,0.0
Online_MPC_Adaptive,EV Desired Capacity (%),0.6,22.0,0.0,34.48160694595931,0.0,23.219059478081004,0.0,126.95296703521223,0.0,0.7327067989852587,0.0,0.0,0.0,187200.2672881224,0.0,668.9192715892783,0.0,52.53755183719607,0.0,25.68915183575349,0.0,15.432098765432102,0.0,4.0,0.0,147.55016319619602,0.0,5.950524136853116,0.0,-3.747693654410933,0.0,0.001756302195243563,0.0,0.0006489909890453439,0.0,0.001107311206198219,0.0,28.056392588060923,0.0,0.0,0.0,14.74949026107788,0.0,2.940987666273285e-05,0.0,5.0071285918281485e-05,0.0,1.4367336227483045,0.0
AFAP,EV Desired Capacity (%),0.75,26.0,0.0,-167.89026537796687,0.0,725.068381922846,0.0,0.0,0.0,1.0,0.0,870.7568205961204,0.0,107489.04587648176,0.0,500.9388004076376,0.0,99.99501578335273,0.0,0.024921083236416362,0.0,99.87041036717063,0.0,0.0,0.0,369.24798563891227,0.0,148.8249104004758,0.0,26.211949178408773,0.0,0.008196305263094032,0.0,0.001403085812307661,0.0,0.006793219450786373,0.0,-7283.016830263159,0.0,0.0,0.0,0.17272305488586426,0.0,5.432880694643427e-05,0.0,0.00026469908315085666,0.0,-5.996080906355959,0.0
