Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_ev_served_std,total_evs_spawned_mean,total_evs_spawned_std,total_profits_mean,total_profits_std,total_energy_charged_mean,total_energy_charged_std,total_energy_discharged_mean,total_energy_discharged_std,average_user_satisfaction_mean,average_user_satisfaction_std,power_tracker_violation_mean,power_tracker_violation_std,tracking_error_mean,tracking_error_std,energy_tracking_error_mean,energy_tracking_error_std,energy_user_satisfaction_mean,energy_user_satisfaction_std,std_energy_user_satisfaction_mean,std_energy_user_satisfaction_std,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_std,total_steps_min_emergency_battery_capacity_violation_mean,total_steps_min_emergency_battery_capacity_violation_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,peak_transformer_loading_pct_mean,peak_transformer_loading_pct_std,average_transformer_loading_pct_mean,average_transformer_loading_pct_std,battery_degradation_mean,battery_degradation_std,battery_degradation_calendar_mean,battery_degradation_calendar_std,battery_degradation_cycling_mean,battery_degradation_cycling_std,total_reward_mean,total_reward_std,action_mask_mean,action_mask_std,execution_time_mean,execution_time_std,calendar_degradation_mean,calendar_degradation_std,cyclic_degradation_mean,cyclic_degradation_std,profit_per_ev_mean,profit_per_ev_std
AFAP,EV Desired Capacity (%),0.6,25.0,0.0,25.0,0.0,-139.96573697754482,0.0,648.0850944056498,0.0,0.0,0.0,1.0,0.0,947.82327184793,0.0,120547.70110728794,0.0,545.000231470967,0.0,99.99514242878563,0.0,0.018067204944304832,0.0,99.91304347826087,0.0,0.0,0.0,79.01382221754525,0.0,130.03521085531372,0.0,23.35647843905131,0.0,0.008100693574451015,0.0,0.0015292573787491998,0.0,0.006571436195701816,0.0,-3399.0496355439386,0.0,0.0,0.0,0.04988431930541992,0.0,6.144605535039924e-05,0.0,0.00026535007515575166,0.0,-5.598629479101793,0.0
ALAP,EV Desired Capacity (%),0.6,25.0,0.0,25.0,0.0,-89.28734466384567,0.0,372.0707719126967,0.0,0.0,0.0,0.9983651307895368,0.0,364.43628276386795,0.0,125199.72620173584,0.0,529.321059421889,0.0,81.3329498411022,0.0,11.792254668762252,0.0,57.64578833693306,0.0,0.0,0.0,3.974852307433057,0.0,100.23370797225472,0.0,13.409138764331253,0.0,0.0030556746887867156,0.0,0.0008618480194145362,0.0,0.0021938266693721795,0.0,-109.69225337755795,0.0,0.0,0.0,0.053701162338256836,0.0,3.502764226637076e-05,0.0,8.720503123801221e-05,0.0,-3.5714937865538268,0.0
RR,EV Desired Capacity (%),0.6,25.0,0.0,25.0,0.0,-68.61404575010964,0.0,317.0792037164814,0.0,0.0,0.0,0.9741509190106594,0.0,0.0,0.0,68040.35782265641,0.0,402.0944862361704,0.0,77.69678912700165,0.0,18.310367483491405,0.0,43.14782608695652,0.0,0.0,0.0,0.0,0.0,43.67121256613575,0.0,11.427285782382274,0.0,0.0032913960590427198,0.0,0.0010485677104804375,0.0,0.0022428283485622824,0.0,-67.90048371639342,0.0,0.0,0.0,0.03800058364868164,0.0,4.2206793880502964e-05,0.0,9.006972479666872e-05,0.0,-2.7445618300043857,0.0
SAC,EV Desired Capacity (%),0.6,25.0,0.0,25.0,0.0,54.37273478463815,0.0,162.71273395273272,0.0,454.32986774335103,0.0,0.4827258342210254,0.0,24.039421220359927,0.0,430178.59184976737,0.0,1022.8105343534501,0.0,37.83128068924809,0.0,32.14234639989425,0.0,12.987012987012985,0.0,13.0,0.0,0.0,0.0,35.66113394510859,0.0,-10.509652754913198,0.0,0.005462875659106162,0.0,0.00043510670101911574,0.0,0.0050277689580870465,0.0,43.22854077608719,0.0,0.0,0.0,0.13955116271972656,0.0,1.7310052107844832e-05,0.0,0.0002019726245548184,0.0,2.1749093913855257,0.0
DDPG,EV Desired Capacity (%),0.6,25.0,0.0,25.0,0.0,38.44773710292376,0.0,219.85638920086413,0.0,416.745,0.0,0.4912972937330389,0.0,0.0,0.0,326063.0046571854,0.0,916.0623007517879,0.0,43.49734480867821,0.0,38.78258159887077,0.0,12.987012987012985,0.0,14.0,0.0,0.0,0.0,19.871241360055926,0.0,-7.095711092140022,0.0,0.005807958911589343,0.0,0.0004630128094420349,0.0,0.0053449461021473086,0.0,25.661383655235774,0.0,0.0,0.0,0.13086843490600586,0.0,1.849222743258868e-05,0.0,0.0002158956253935837,0.0,1.5379094841169505,0.0
DDPG+PER,EV Desired Capacity (%),0.6,25.0,0.0,25.0,0.0,-9.573028811489126,0.0,318.65976393395005,0.0,304.64750000000004,0.0,0.61298123570432,0.0,0.23940061792391942,0.0,208938.82487906874,0.0,705.2811263276637,0.0,56.90286160535443,0.0,41.41152632077,0.0,15.432098765432102,0.0,9.0,0.0,0.0,0.0,20.09541271273143,0.0,0.504991000843401,0.0,0.006161781182495139,0.0,0.0007239274858433917,0.0,0.005437853696651746,0.0,-3.8347515645964076,0.0,0.0,0.0,0.16124439239501953,0.0,2.8999599327751213e-05,0.0,0.0002198468287909816,0.0,-0.38292115245956504,0.0
TQC,EV Desired Capacity (%),0.6,25.0,0.0,25.0,0.0,59.74104509933361,0.0,224.75996091994105,0.0,566.7008510360769,0.0,0.4894330113589039,0.0,30.693140683775944,0.0,549982.9507001279,0.0,1076.4611504106763,0.0,33.99963362466067,0.0,26.867068442223875,0.0,15.432098765432102,0.0,18.0,0.0,0.0,0.0,42.53905920790563,0.0,-12.323281458512616,0.0,0.006078844346114333,0.0,0.00033128753188772005,0.0,0.005747556814226614,0.0,-4681.526121948276,0.0,0.0,0.0,0.1248788833618164,0.0,1.3177487896306727e-05,0.0,0.0002309256596828027,0.0,2.3896418039733445,0.0
Online_MPC_NonAdaptive,EV Desired Capacity (%),0.6,25.0,0.0,25.0,0.0,8.739293955609597,0.0,92.14367353577381,0.0,127.92750000000001,0.0,0.7981715268224034,0.0,0.0,0.0,202320.14556897117,0.0,754.9575164168782,0.0,53.982893909956054,0.0,21.355025423254318,0.0,15.87962962962963,0.0,3.0,0.0,0.0,0.0,18.451313287950942,0.0,-1.2896210366401641,0.0,0.0022761339008247014,0.0,0.0007835207143683372,0.0,0.001492613186456364,0.0,5.644722744328814,0.0,0.0,0.0,8.289836883544922,0.0,3.1297913242145265e-05,0.0,5.970994411420212e-05,0.0,0.34957175822438386,0.0
Online_MPC_Adaptive,EV Desired Capacity (%),0.6,25.0,0.0,25.0,0.0,19.591937874692864,0.0,46.50063739934326,0.0,138.6,0.0,0.7531419811509793,0.0,0.0,0.0,239560.9599370308,0.0,811.2730525533086,0.0,50.21189796885326,0.0,21.750021920440737,0.0,18.208695652173915,0.0,3.0,0.0,0.0,0.0,10.08913811046866,0.0,-3.3191887846230568,0.0,0.0019950262763106202,0.0,0.0007223699457997247,0.0,0.001272656330510896,0.0,14.365084729152503,0.0,0.0,0.0,10.163956880569458,0.0,2.880944958562062e-05,0.0,5.086933504003282e-05,0.0,0.7836775149877145,0.0
AFAP,EV Desired Capacity (%),0.75,25.0,0.0,25.0,0.0,-139.96573697754482,0.0,648.0850944056498,0.0,0.0,0.0,1.0,0.0,947.82327184793,0.0,120547.70110728794,0.0,545.000231470967,0.0,99.99514242878563,0.0,0.018067204944304832,0.0,99.91304347826087,0.0,0.0,0.0,79.01382221754525,0.0,130.03521085531372,0.0,23.35647843905131,0.0,0.008100693574451015,0.0,0.0015292573787491998,0.0,0.006571436195701816,0.0,-3399.0496355439386,0.0,0.0,0.0,0.050436973571777344,0.0,6.144605535039924e-05,0.0,0.00026535007515575166,0.0,-5.598629479101793,0.0
