Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_ev_served_std,total_profits_mean,total_profits_std,total_energy_charged_mean,total_energy_charged_std,total_energy_discharged_mean,total_energy_discharged_std,average_user_satisfaction_mean,average_user_satisfaction_std,power_tracker_violation_mean,power_tracker_violation_std,tracking_error_mean,tracking_error_std,energy_tracking_error_mean,energy_tracking_error_std,energy_user_satisfaction_mean,energy_user_satisfaction_std,std_energy_user_satisfaction_mean,std_energy_user_satisfaction_std,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_std,total_steps_min_emergency_battery_capacity_violation_mean,total_steps_min_emergency_battery_capacity_violation_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,peak_transformer_loading_pct_mean,peak_transformer_loading_pct_std,average_transformer_loading_pct_mean,average_transformer_loading_pct_std,battery_degradation_mean,battery_degradation_std,battery_degradation_calendar_mean,battery_degradation_calendar_std,battery_degradation_cycling_mean,battery_degradation_cycling_std,total_reward_mean,total_reward_std,action_mask_mean,action_mask_std,execution_time_mean,execution_time_std,calendar_degradation_mean,calendar_degradation_std,cyclic_degradation_mean,cyclic_degradation_std,profit_per_ev_mean,profit_per_ev_std
AFAP,EV Spawn Multiplier,1,10.0,0.0,-78.19499234807203,0.0,257.292678112638,0.0,0.0,0.0,1.0,0.0,343.1084109748682,0.0,18301.64663510247,0.0,193.4186139494246,0.0,99.90991107657774,0.0,0.2503679627077336,0.0,99.16083916083916,0.0,0.0,0.0,166.76958120183005,0.0,60.026165030968706,0.0,9.282051048941113,0.0,0.0030233517809876527,0.0,0.0005266584719315556,0.0,0.002496693309056098,0.0,-78.194992348072,0.0,0.0,0.0,0.047907114028930664,0.0,5.2982707021070896e-05,0.0,0.0002529635122856498,0.0,-19.54874808701801,0.0
ALAP,EV Spawn Multiplier,1,10.0,0.0,-68.98121907526013,0.0,144.1900253197452,0.0,0.0,0.0,0.8717200807431249,0.0,143.65050448605336,0.0,25370.930903493456,0.0,206.79231349791004,0.0,80.97853788409012,0.0,12.350964769226733,0.0,66.06896551724138,0.0,0.0,0.0,131.61569472123443,0.0,40.00089811557049,0.0,5.201777157374329,0.0,0.0011402099027602898,0.0,0.0003077910253949098,0.0,0.0008324188773653804,0.0,-126.28263430979618,0.0,0.0,0.0,0.047135353088378906,0.0,3.1301612902650125e-05,0.0,8.21126510456745e-05,0.0,-17.245304768815032,0.0
RR,EV Spawn Multiplier,1,10.0,0.0,-49.827707015734475,0.0,136.54367964177814,0.0,0.0,0.0,0.8497880257402164,0.0,0.0,0.0,11047.812820990244,0.0,142.61340693285032,0.0,79.58672520937888,0.0,16.40948968744896,0.0,48.56896551724138,0.0,0.0,0.0,80.1090650331046,0.0,21.485667474548855,0.0,4.925928767745188,0.0,0.0011844341797897714,0.0,0.000364548357876421,0.0,0.0008198858219133502,0.0,-46.09809632129781,0.0,0.0,0.0,0.029318571090698242,0.0,3.67592483815552e-05,0.0,8.295400702694777e-05,0.0,-12.456926753933619,0.0
SAC,EV Spawn Multiplier,1,10.0,0.0,22.825190782718217,0.0,129.19490815562312,0.0,220.04633825685102,0.0,0.45089977954745564,0.0,7.961288936394415,0.0,66999.6968998956,0.0,373.98916114405336,0.0,42.47391592720678,0.0,32.839778953977685,0.0,12.987012987012985,0.0,5.0,0.0,11.882866263795652,0.0,10.00022452889261,0.0,-3.277542207010362,0.0,0.0026706240488338613,0.0,0.00021010467407146184,0.0,0.0024605193747624,0.0,24.438312823748824,0.0,0.0,0.0,0.13814640045166016,0.0,2.0758537173766596e-05,0.0,0.0002467482121283695,0.0,5.706297695679554,0.0
DDPG,EV Spawn Multiplier,1,10.0,0.0,22.310483314225383,0.0,39.87166159696217,0.0,122.23,0.0,0.43275563864158456,0.0,0.0,0.0,62426.1697349837,0.0,361.51542497766644,0.0,41.95712879121175,0.0,38.00221605066183,0.0,15.432098765432102,0.0,2.0,0.0,8.879916784305095,0.0,10.000224528892609,0.0,-2.971146738300498,0.0,0.001544765781329229,0.0,0.00020992602003811777,0.0,0.001334839761291111,0.0,16.657326825736103,0.0,0.0,0.0,0.07922005653381348,0.0,2.0883144742773068e-05,0.0,0.0001349243500193609,0.0,5.577620828556346,0.0
DDPG+PER,EV Spawn Multiplier,1,10.0,0.0,18.662933095369254,0.0,71.06682250296873,0.0,146.28000000000003,0.0,0.4349325337331334,0.0,0.0,0.0,55179.5825713594,0.0,354.37026407165996,0.0,42.14687650994498,0.0,37.8603549140584,0.0,17.24137931034483,0.0,2.0,0.0,19.169991883807636,0.0,10.000224528892616,0.0,-2.7133790133541367,0.0,0.0018692826473035026,0.0,0.0001586246571087398,0.0,0.0017106579901947627,0.0,14.014622888118776,0.0,0.0,0.0,0.09986591339111328,0.0,1.578911828670655e-05,0.0,0.0001733961906852616,0.0,4.665733273842314,0.0
TQC,EV Spawn Multiplier,1,10.0,0.0,19.896874981826098,0.0,157.53852745856972,0.0,214.82435421806662,0.0,0.48552442091711345,0.0,52.747164222279025,0.0,70547.53728310879,0.0,362.8164954452649,0.0,46.37812842126685,0.0,35.58432980491494,0.0,15.432098765432102,0.0,5.0,0.0,19.716317907569394,0.0,43.902345128461576,0.0,-2.0666346678146255,0.0,0.0029172506645851956,0.0,0.000287067278391763,0.0,0.0026301833861934326,0.0,14.360164938191668,0.0,0.0,0.0,0.09481573104858398,0.0,2.8494995372332757e-05,0.0,0.0002626553975161948,0.0,4.9742187454565245,0.0
Online_MPC_NonAdaptive,EV Spawn Multiplier,1,10.0,0.0,33.04348557526883,0.0,9.781929032313466,0.0,103.785,0.0,0.45153541837119493,0.0,0.0,0.0,56445.58908378891,0.0,373.1601575423151,0.0,41.31282620825599,0.0,24.71595096899187,0.0,17.482517482517483,0.0,0.0,0.0,4.638365467881275,0.0,1.067017641486047,0.0,-3.391240317757189,0.0,0.0010068184392990657,0.0,0.00021147927431831151,0.0,0.0007953391649807544,0.0,21.213659275631198,0.0,0.0,0.0,10.042267322540283,0.0,2.0964704183691634e-05,0.0,7.957275331412064e-05,0.0,8.260871393817208,0.0
Online_MPC_Adaptive,EV Spawn Multiplier,1,10.0,0.0,35.34721768139566,0.0,6.001700709109613,0.0,106.92308149143076,0.0,0.448895234134309,0.0,0.0,0.0,58713.557971755356,0.0,380.0784673569498,0.0,40.40969238555695,0.0,23.36294704325063,0.0,17.391304347826086,0.0,0.0,0.0,5.671154107762657,0.0,0.0,0.0,-3.6408241976518063,0.0,0.0010355679799801114,0.0,0.0002008762612481246,0.0,0.0008346917187319869,0.0,23.41440257712859,0.0,0.0,0.0,11.02635145187378,0.0,1.9886439386210696e-05,0.0,8.308632438817791e-05,0.0,8.836804420348916,0.0
AFAP,EV Spawn Multiplier,3,16.0,0.0,-105.69381446551964,0.0,424.6254904065713,0.0,0.0,0.0,1.0,0.0,619.6323289882415,0.0,52143.760988226815,0.0,352.7621241173069,0.0,99.9532983913011,0.0,0.17217269181348802,0.0,99.28725701943844,0.0,0.0,0.0,257.06421678172757,0.0,87.8189010633948,0.0,15.280179191545177,0.0,0.0052201257639477175,0.0,0.0010093679819592415,0.0,0.0042107577819884764,0.0,-12515.228265143189,0.0,0.0,0.0,0.04751706123352051,0.0,6.338821553793467e-05,0.0,0.0002656240703716201,0.0,-10.569381446551963,0.0
