Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_ev_served_std,total_profits_mean,total_profits_std,total_energy_charged_mean,total_energy_charged_std,total_energy_discharged_mean,total_energy_discharged_std,average_user_satisfaction_mean,average_user_satisfaction_std,power_tracker_violation_mean,power_tracker_violation_std,tracking_error_mean,tracking_error_std,energy_tracking_error_mean,energy_tracking_error_std,energy_user_satisfaction_mean,energy_user_satisfaction_std,std_energy_user_satisfaction_mean,std_energy_user_satisfaction_std,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_std,total_steps_min_emergency_battery_capacity_violation_mean,total_steps_min_emergency_battery_capacity_violation_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,peak_transformer_loading_pct_mean,peak_transformer_loading_pct_std,average_transformer_loading_pct_mean,average_transformer_loading_pct_std,battery_degradation_mean,battery_degradation_std,battery_degradation_calendar_mean,battery_degradation_calendar_std,battery_degradation_cycling_mean,battery_degradation_cycling_std,total_reward_mean,total_reward_std,action_mask_mean,action_mask_std,execution_time_mean,execution_time_std,calendar_degradation_mean,calendar_degradation_std,cyclic_degradation_mean,cyclic_degradation_std,profit_per_ev_mean,profit_per_ev_std
AFAP,Number of Charging Stations,5,4.0,0.0,-0.8681573243259622,0.0,70.25766209150035,0.0,0.0,0.0,1.0,0.0,79.42974683000195,0.0,1331.4575226232662,0.0,47.08648155929207,0.0,99.97300215982722,0.0,0.046761630873889765,0.0,99.89200863930886,0.0,0.0,0.0,0.0,0.0,17.117393556670947,0.0,2.539325515713634,0.0,0.0009703886492460855,0.0,0.00027661821352938917,0.0,0.0006937704357166964,0.0,-0.08681573243259626,0.0,0.0,0.0,0.006545305252075195,0.0,6.941348363544465e-05,0.0,0.00017552681505901227,0.0,-0.17363146486519243,0.0
ALAP,Number of Charging Stations,5,4.0,0.0,-3.3392449034894627,0.0,35.66612560955603,0.0,0.0,0.0,0.8642308615310774,0.0,90.38712156704439,0.0,3508.3654932750896,0.0,87.1567054097576,0.0,81.76767856780145,0.0,16.72847598671115,0.0,59.805615550755945,0.0,0.0,0.0,0.422574613548953,0.0,16.758804948457602,0.0,1.289082216955093,0.0,0.00043984174351413443,0.0,0.00018905245243960826,0.0,0.0002507892910745262,0.0,-5.335313591775925,0.0,0.0,0.0,0.024361610412597656,0.0,4.764880146440177e-05,0.0,6.256284589200461e-05,0.0,-0.6678489806978926,0.0
RR,Number of Charging Stations,5,4.0,0.0,-0.375265442273948,0.0,40.371134843561336,0.0,0.0,0.0,0.8770698344132468,0.0,0.0,0.0,1260.5324559863557,0.0,37.25813539223015,0.0,83.87135003225717,0.0,18.31343903728096,0.0,55.26997840172786,0.0,0.0,0.0,0.0,0.0,9.077953713191098,0.0,1.4591355555364136,0.0,0.0005642330631781539,0.0,0.0002264940966471913,0.0,0.0003377389665309627,0.0,-0.03846348941622053,0.0,0.0,0.0,0.009767770767211914,0.0,5.683179709146039e-05,0.0,8.450313448361003e-05,0.0,-0.0750530884547896,0.0
SAC,Number of Charging Stations,5,4.0,0.0,-0.8461734858777865,0.0,87.22047259715433,0.0,61.92083768697372,0.0,0.8099952003839693,0.0,85.0184483010386,0.0,5129.34411693739,0.0,94.83885947613017,0.0,77.47948913751028,0.0,32.46920592977324,0.0,21.598272138228943,0.0,1.0,0.0,0.0,0.0,22.153652489921424,0.0,0.9144057253427043,0.0,0.001179584379949217,0.0,0.0001534677274225489,0.0,0.0010261166525266682,0.0,-0.08461734858777865,0.0,0.0,0.0,0.0950162410736084,0.0,3.874322805005481e-05,0.0,0.0002613577919969975,0.0,-0.1692346971755573,0.0
DDPG,Number of Charging Stations,5,4.0,0.0,-0.7435874243622875,0.0,16.91958170254714,0.0,19.035,0.0,0.6199904007679385,0.0,39.82727238803013,0.0,4924.044824239688,0.0,99.6583247272594,0.0,60.79913606911447,0.0,39.200863930885525,0.0,21.598272138228943,0.0,0.0,0.0,0.0,0.0,10.018850784403991,0.0,-0.07645764887726596,0.0,0.0005459677649282482,0.0,0.0001704583545480785,0.0,0.0003755094103801696,0.0,-0.10045917453723972,0.0,0.0,0.0,0.06388545036315918,0.0,4.260466925007537e-05,0.0,9.393516334035948e-05,0.0,-0.1487174848724575,0.0
DDPG+PER,Number of Charging Stations,5,4.0,0.0,0.0013941724999994888,0.0,0.0,0.0,117.12,0.0,0.20395815714948803,0.0,0.0,0.0,18959.262566175876,0.0,194.7492702357915,0.0,18.356234143453925,0.0,3.573970405753569,0.0,12.987012987012985,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-4.23307288553173,0.0,0.0008239075077993863,0.0,3.111141889160178e-05,0.0,0.0007927960889077846,0.0,-0.4584493308952664,0.0,0.0,0.0,0.09034490585327148,0.0,7.502271601012945e-06,0.0,0.00020038335910560904,0.0,0.00027883449999989776,0.0
TQC,Number of Charging Stations,5,4.0,0.0,-1.1875938379820257,0.0,13.08221391806679,0.0,62.120000000000005,0.0,0.4233428911893945,0.0,44.281663077329014,0.0,10899.915986181884,0.0,148.80788785638921,0.0,40.60086020704551,0.0,34.30800269490495,0.0,19.20689655172414,0.0,1.0,0.0,0.0,0.0,10.018850784403991,0.0,-1.772374680925006,0.0,0.0007006967629063487,0.0,0.00010073355404861908,0.0,0.0005999632088577296,0.0,-0.25800603237023345,0.0,0.0,0.0,0.0868368148803711,0.0,2.507247602575651e-05,0.0,0.0001507928652939511,0.0,-0.23751876759640514,0.0
Online_MPC_NonAdaptive,Number of Charging Stations,5,4.0,0.0,-0.5314491000000001,0.0,8.280000000000001,0.0,0.0,0.0,0.7540196784257259,0.0,24.18136078490919,0.0,3369.9432355553527,0.0,81.43995062824607,0.0,68.42088435880795,0.0,23.31899773746269,0.0,38.16414686825055,0.0,0.0,0.0,0.0,0.0,10.018850784403991,0.0,0.2992643740795998,0.0,0.00026045637893241073,0.0,0.0001895383838378777,0.0,7.091799509453307e-05,0.0,-0.061190815213519,0.0,0.0,0.0,8.12398362159729,0.0,4.743360865318135e-05,0.0,1.771793710798377e-05,0.0,-0.10628982000000002,0.0
Online_MPC_Adaptive,Number of Charging Stations,5,4.0,0.0,-0.5314491000000001,0.0,8.280000000000001,0.0,0.0,0.0,0.7540196784257259,0.0,24.18136078490919,0.0,3369.9432355553527,0.0,81.43995062824607,0.0,68.42088435880795,0.0,23.31899773746269,0.0,38.16414686825055,0.0,0.0,0.0,0.0,0.0,10.018850784403991,0.0,0.2992643740795998,0.0,0.00026045637893241073,0.0,0.0001895383838378777,0.0,7.091799509453307e-05,0.0,-0.061190815213519,0.0,0.0,0.0,8.18359088897705,0.0,4.743360865318135e-05,0.0,1.771793710798377e-05,0.0,-0.10628982000000002,0.0
AFAP,Number of Charging Stations,15,17.0,0.0,-246.3700702744277,0.0,443.98150142467637,0.0,0.0,0.0,1.0,0.0,402.4302033152138,0.0,26736.161960454152,0.0,236.3624248501604,0.0,99.99091094771242,0.0,0.03265675253705021,0.0,99.8611111111111,0.0,0.0,0.0,4.627414614081054,0.0,90.70248949460824,0.0,16.040108168382783,0.0,0.004736198817034054,0.0,0.0008547309492300073,0.0,0.003881467867804046,0.0,-119.06974542745326,0.0,0.0,0.0,0.04768562316894531,0.0,5.065073935842025e-05,0.0,0.00023263037340360358,0.0,-16.42467135162851,0.0
