Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_ev_served_std,total_evs_spawned_mean,total_evs_spawned_std,total_profits_mean,total_profits_std,total_energy_charged_mean,total_energy_charged_std,total_energy_discharged_mean,total_energy_discharged_std,average_user_satisfaction_mean,average_user_satisfaction_std,power_tracker_violation_mean,power_tracker_violation_std,tracking_error_mean,tracking_error_std,energy_tracking_error_mean,energy_tracking_error_std,energy_user_satisfaction_mean,energy_user_satisfaction_std,std_energy_user_satisfaction_mean,std_energy_user_satisfaction_std,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_std,total_steps_min_emergency_battery_capacity_violation_mean,total_steps_min_emergency_battery_capacity_violation_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,peak_transformer_loading_pct_mean,peak_transformer_loading_pct_std,average_transformer_loading_pct_mean,average_transformer_loading_pct_std,battery_degradation_mean,battery_degradation_std,battery_degradation_calendar_mean,battery_degradation_calendar_std,battery_degradation_cycling_mean,battery_degradation_cycling_std,total_reward_mean,total_reward_std,action_mask_mean,action_mask_std,execution_time_mean,execution_time_std,calendar_degradation_mean,calendar_degradation_std,cyclic_degradation_mean,cyclic_degradation_std,profit_per_ev_mean,profit_per_ev_std
AFAP,Transformer Max Power (kW),25,11.0,0.0,11.0,0.0,-58.59944423683912,0.0,271.8943838341439,0.0,0.0,0.0,0.999635241301908,0.0,420.52997149834556,0.0,23884.644079119505,0.0,229.82626466337518,0.0,99.9635241301908,0.0,0.11534682823285118,0.0,99.59876543209877,0.0,0.0,0.0,124.35689766191138,0.0,240.73624874535554,0.0,39.19544126868264,0.0,0.0034705511127789104,0.0,0.0007067880038570002,0.0,0.00276376310892191,0.0,-9072.472655770538,0.0,0.0,0.0,0.07358527183532715,0.0,6.451579935649997e-05,0.0,0.00025366626891345096,0.0,-5.32722220334901,0.0
ALAP,Transformer Max Power (kW),25,11.0,0.0,11.0,0.0,-37.12837964284442,0.0,150.68899019082707,0.0,0.0,0.0,0.8179067366266406,0.0,111.91787991041505,0.0,17989.995468711124,0.0,196.72561251272668,0.0,81.79067366266405,0.0,13.140196515325005,0.0,57.64578833693306,0.0,0.0,0.0,61.66160912802212,0.0,159.8411289922998,0.0,21.722852019130055,0.0,0.0012947098702038252,0.0,0.0004273758437744722,0.0,0.000867334026429353,0.0,-2869.564716449365,0.0,0.0,0.0,0.08160924911499023,0.0,3.934982303099792e-05,0.0,7.867991219750598e-05,0.0,-3.375307240258584,0.0
RR,Transformer Max Power (kW),25,11.0,0.0,11.0,0.0,-29.72233227992168,0.0,135.85009004513216,0.0,0.0,0.0,0.796672897165833,0.0,0.0,0.0,10645.856715506869,0.0,155.60557270321408,0.0,79.6672897165833,0.0,18.43882026137091,0.0,51.589506172839506,0.0,0.0,0.0,7.673387699445223,0.0,79.92056449615005,0.0,19.583722733152538,0.0,0.001450908771603868,0.0,0.0005052514416195011,0.0,0.0009456573299843667,0.0,-317.4659989039398,0.0,0.0,0.0,0.0804300308227539,0.0,4.618982487170606e-05,0.0,8.649251933619723e-05,0.0,-2.7020302072656075,0.0
SAC,Transformer Max Power (kW),25,11.0,0.0,11.0,0.0,18.542124299250517,0.0,118.37244275052365,0.0,220.72538675569757,0.0,0.45726151487275507,0.0,3.200497338632243,0.0,66954.64321368057,0.0,395.4088554228363,0.0,45.72615148727551,0.0,33.51968231321634,0.0,12.987012987012985,0.0,6.0,0.0,1.5304788512771559,0.0,73.06619853653413,0.0,-14.754879261789917,0.0,0.0026186301074185786,0.0,0.00023969343814801824,0.0,0.0023789366692705607,0.0,-9480.406758212022,0.0,0.0,0.0,0.17071533203125,0.0,2.177192531785803e-05,0.0,0.0002178372763226186,0.0,1.685647663568229,0.0
DDPG,Transformer Max Power (kW),25,11.0,0.0,11.0,0.0,41.61310226815371,0.0,41.12244498232162,0.0,245.41000000000003,0.0,0.3128460912750587,0.0,0.0,0.0,99149.51331513182,0.0,495.7432177660246,0.0,31.284609127505863,0.0,32.4175938565904,0.0,12.987012987012985,0.0,7.0,0.0,0.0,0.0,26.882371694159545,0.0,-29.44945295193209,0.0,0.0024993470795850498,0.0,0.000161979635369566,0.0,0.0023373674442154838,0.0,-11554.44454037698,0.0,0.0,0.0,0.1569061279296875,0.0,1.458213821349438e-05,0.0,0.0002140035010084044,0.0,3.7830092971048828,0.0
DDPG+PER,Transformer Max Power (kW),25,11.0,0.0,11.0,0.0,-19.37375844904317,0.0,177.41107252055616,0.0,103.19500000000001,0.0,0.6973225929122981,0.0,94.21917788514874,0.0,30747.351067737716,0.0,264.34917917036455,0.0,69.73225929122981,0.0,39.967914401671266,0.0,15.432098765432102,0.0,2.0,0.0,7.600444617590021,0.0,106.80293619030951,0.0,10.69875615174973,0.0,0.003097240771221726,0.0,0.0004749556757145288,0.0,0.0026222850955071974,0.0,-173.5090775691236,0.0,0.0,0.0,0.16418957710266113,0.0,4.326630440917322e-05,0.0,0.00024037142843257283,0.0,-1.7612507680948335,0.0
TQC,Transformer Max Power (kW),25,11.0,0.0,11.0,0.0,6.07321178586016,0.0,189.52154337861407,0.0,250.68200994335854,0.0,0.4945951327669349,0.0,57.04455925863406,0.0,65853.10444952795,0.0,381.13840894240786,0.0,49.45951327669349,0.0,32.45329771943428,0.0,15.432098765432102,0.0,5.0,0.0,25.718446699829325,0.0,109.14415585194881,0.0,-8.816700960862702,0.0,0.003513343097152073,0.0,0.00021471199746684073,0.0,0.0032986310996852325,0.0,-6794.398480664663,0.0,0.0,0.0,0.22042226791381836,0.0,1.9667589416828967e-05,0.0,0.0003017998180979561,0.0,0.5521101623509236,0.0
Online_MPC_NonAdaptive,Transformer Max Power (kW),25,11.0,0.0,11.0,0.0,14.57978419540671,0.0,38.92466213195594,0.0,104.8326411819748,0.0,0.5034513995709013,0.0,0.0,0.0,45128.23099415914,0.0,357.363641798365,0.0,50.345139957090126,0.0,24.326301710739024,0.0,16.280864197530867,0.0,2.0,0.0,0.0,0.0,39.50772900223798,0.0,-9.501087464787034,0.0,0.0013967186602288585,0.0,0.000362006774248225,0.0,0.0010347118859806335,0.0,11.185432459493622,0.0,0.0,0.0,10.005014419555664,0.0,3.278230247453399e-05,0.0,9.41823145194818e-05,0.0,1.3254349268551555,0.0
Online_MPC_Adaptive,Transformer Max Power (kW),25,11.0,0.0,11.0,0.0,19.60793854826383,0.0,21.206477407874406,0.0,114.83472340524875,0.0,0.4617381130442959,0.0,0.0,0.0,52652.753285214196,0.0,385.0839087457205,0.0,46.173811304429584,0.0,22.378970766195284,0.0,22.1141975308642,0.0,4.0,0.0,0.0,0.0,24.97424411941909,0.0,-13.497154171887718,0.0,0.0012041189374920095,0.0,0.0003175714485198416,0.0,0.000886547488972168,0.0,16.410027471482938,0.0,0.0,0.0,11.043873071670532,0.0,2.87175566423418e-05,0.0,8.079803222519365e-05,0.0,1.7825398680239848,0.0
AFAP,Transformer Max Power (kW),50,11.0,0.0,11.0,0.0,-58.59944423683912,0.0,271.8943838341439,0.0,0.0,0.0,0.999635241301908,0.0,420.52997149834556,0.0,23884.644079119505,0.0,229.82626466337518,0.0,99.9635241301908,0.0,0.11534682823285118,0.0,99.59876543209877,0.0,0.0,0.0,17.248243387477196,0.0,120.36812437267777,0.0,19.59772063434132,0.0,0.0034705511127789104,0.0,0.0007067880038570002,0.0,0.00276376310892191,0.0,-370.3952680111738,0.0,0.0,0.0,0.04353141784667969,0.0,6.451579935649997e-05,0.0,0.00025366626891345096,0.0,-5.32722220334901,0.0
ALAP,Transformer Max Power (kW),50,11.0,0.0,11.0,0.0,-37.12837964284442,0.0,150.68899019082707,0.0,0.0,0.0,0.8179067366266406,0.0,111.91787991041505,0.0,17989.995468711124,0.0,196.72561251272668,0.0,81.79067366266405,0.0,13.140196515325005,0.0,57.64578833693306,0.0,0.0,0.0,0.0,0.0,79.9205644961499,0.0,10.861426009565028,0.0,0.0012947098702038252,0.0,0.0004273758437744722,0.0,0.000867334026429353,0.0,-34.03156309229767,0.0,0.0,0.0,0.023342370986938477,0.0,3.934982303099792e-05,0.0,7.867991219750598e-05,0.0,-3.375307240258584,0.0
RR,Transformer Max Power (kW),50,11.0,0.0,11.0,0.0,-29.72233227992168,0.0,135.85009004513216,0.0,0.0,0.0,0.796672897165833,0.0,0.0,0.0,10645.856715506869,0.0,155.60557270321408,0.0,79.6672897165833,0.0,18.43882026137091,0.0,51.589506172839506,0.0,0.0,0.0,0.0,0.0,39.960282248075025,0.0,9.791861366576269,0.0,0.001450908771603868,0.0,0.0005052514416195011,0.0,0.0009456573299843667,0.0,-28.452046899167982,0.0,0.0,0.0,0.0480954647064209,0.0,4.618982487170606e-05,0.0,8.649251933619723e-05,0.0,-2.7020302072656075,0.0
SAC,Transformer Max Power (kW),50,11.0,0.0,11.0,0.0,17.153749269916673,0.0,127.58522188423748,0.0,223.3443226749024,0.0,0.4671738167211909,0.0,4.500649499388314,0.0,71744.00710642978,0.0,389.4650882887055,0.0,46.71738167211909,0.0,34.502678568328214,0.0,12.987012987012985,0.0,6.0,0.0,0.0,0.0,39.295014536185526,0.0,-6.902165756523862,0.0,0.0026496472606938196,0.0,0.0002422090651689566,0.0,0.0024074381955248637,0.0,17.618020311001303,0.0,0.0,0.0,0.09564781188964844,0.0,2.201655093373227e-05,0.0,0.00022038915217109696,0.0,1.5594317518106067,0.0
DDPG,Transformer Max Power (kW),50,11.0,0.0,11.0,0.0,41.61310226815371,0.0,41.12244498232162,0.0,245.41000000000003,0.0,0.3128460912750587,0.0,0.0,0.0,99149.51331513182,0.0,495.7432177660246,0.0,31.284609127505863,0.0,32.4175938565904,0.0,12.987012987012985,0.0,7.0,0.0,0.0,0.0,13.441185847079772,0.0,-14.724726475966046,0.0,0.0024993470795850498,0.0,0.000161979635369566,0.0,0.0023373674442154838,0.0,-1929.16916625367,0.0,0.0,0.0,0.0631406307220459,0.0,1.458213821349438e-05,0.0,0.0002140035010084044,0.0,3.7830092971048828,0.0
