Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_ev_served_std,total_evs_spawned_mean,total_evs_spawned_std,total_profits_mean,total_profits_std,total_energy_charged_mean,total_energy_charged_std,total_energy_discharged_mean,total_energy_discharged_std,average_user_satisfaction_mean,average_user_satisfaction_std,power_tracker_violation_mean,power_tracker_violation_std,tracking_error_mean,tracking_error_std,energy_tracking_error_mean,energy_tracking_error_std,energy_user_satisfaction_mean,energy_user_satisfaction_std,std_energy_user_satisfaction_mean,std_energy_user_satisfaction_std,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_std,total_steps_min_emergency_battery_capacity_violation_mean,total_steps_min_emergency_battery_capacity_violation_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,peak_transformer_loading_pct_mean,peak_transformer_loading_pct_std,average_transformer_loading_pct_mean,average_transformer_loading_pct_std,battery_degradation_mean,battery_degradation_std,battery_degradation_calendar_mean,battery_degradation_calendar_std,battery_degradation_cycling_mean,battery_degradation_cycling_std,total_reward_mean,total_reward_std,action_mask_mean,action_mask_std,execution_time_mean,execution_time_std,v2g_time_percentage_mean,v2g_time_percentage_std,average_v2g_power_mean,average_v2g_power_std,calendar_degradation_mean,calendar_degradation_std,cyclic_degradation_mean,cyclic_degradation_std,profit_per_ev_mean,profit_per_ev_std
AFAP,Transformer Max Power (kW),25,16.0,0.0,16.0,0.0,-98.6953790347602,0.0,464.67299778112334,0.0,0.0,0.0,1.0,0.0,643.1303946214376,0.0,61677.66935543795,7.275957614183426e-12,368.077344041621,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,280.37468428123145,0.0,412.70588462774975,0.0,66.38185682587475,0.0,0.005380781954359333,8.673617379884035e-19,0.0009551547777394807,1.0842021724855044e-19,0.004425627176619852,0.0,-24816.54853613225,0.0,0.0,0.0,0.10998257001241048,0.044664791171761746,0.0,0.0,0.0,0.0,6.0016677824146525e-05,0.0,0.00027940089732436104,0.0,-6.168461189672512,0.0
ALAP,Transformer Max Power (kW),25,16.0,0.0,16.0,0.0,-55.74511486058628,0.0,249.53542286274168,2.842170943040401e-14,0.0,0.0,0.7754081549970567,0.0,311.2271314305753,0.0,85570.29307100765,0.0,417.2632873645714,0.0,77.54081549970567,0.0,14.493132759047201,0.0,61.419753086419746,0.0,0.0,0.0,115.56542286274164,1.4210854715202004e-14,371.39999999999986,0.0,35.647917551820235,0.0,0.0021974015555746205,0.0,0.00046551839222826316,0.0,0.0017318831633463573,0.0,-3610.008384665531,4.547473508864641e-13,0.0,0.0,0.08814795811971028,0.02459484522094916,0.0,0.0,0.0,0.0,2.9681433026585264e-05,3.3881317890172014e-21,0.00010659499673146276,0.0,-3.4840696787866423,0.0
RR,Transformer Max Power (kW),25,16.0,0.0,16.0,0.0,-44.3509403901808,7.105427357601002e-15,212.90012308846192,0.0,0.0,0.0,0.7416935519184733,0.0,0.0,0.0,42032.09612467276,0.0,298.28502142356353,0.0,74.16935519184733,0.0,22.133326031290853,0.0,44.078125,0.0,0.0,0.0,20.5669401290659,0.0,145.44000000000003,0.0,30.4143032983517,0.0,0.0020839653006791536,0.0,0.000590803707270342,0.0,0.0014931615934088121,2.168404344971009e-19,-1151.6044300426415,0.0,0.0,0.0,0.1045974890391032,0.03929986625367961,0.0,0.0,0.0,0.0,3.720590172674897e-05,0.0,9.308208508273278e-05,1.3552527156068805e-20,-2.7719337743863,4.440892098500626e-16
SAC,Transformer Max Power (kW),25,16.0,0.0,16.0,0.0,-14.628641284643544,1.7763568394002505e-15,248.87405696904185,2.842170943040401e-14,181.32419507731004,0.0,0.582282191355851,0.0,11.14658901782853,0.0,97283.84363760705,0.0,449.208577129208,5.684341886080802e-14,58.228219135585086,7.105427357601002e-15,31.535718086387835,0.0,15.432098765432102,0.0,3.0,0.0,0.0,0.0,87.21646706608306,0.0,9.649980270247402,0.0,0.003734137410180694,0.0,0.00043707619857583264,0.0,0.0032970612116048612,0.0,-17.71018175522344,0.0,0.0,0.0,0.21197382609049478,0.07893572198098718,55.83173996175909,7.105427357601002e-15,2.4838930832508224,0.0,2.740565676449726e-05,0.0,0.00020678962612939578,0.0,-0.9142900802902215,1.1102230246251565e-16
DDPG,Transformer Max Power (kW),25,16.0,0.0,16.0,0.0,-7.790778922749376,0.0,193.0373532080447,0.0,153.3025,0.0,0.5371524127707464,0.0,0.0,0.0,99245.64913521492,0.0,471.4502913039808,0.0,53.71524127707465,0.0,40.85339427561788,0.0,15.432098765432102,0.0,4.0,0.0,0.0,0.0,89.51999999999991,1.4210854715202004e-14,5.676407601149232,8.881784197001252e-16,0.0034469145952191276,4.336808689942018e-19,0.000461539351162816,0.0,0.0029853752440563114,0.0,-10.453003265620488,0.0,0.0,0.0,0.19909350077311197,0.06242126484644958,53.72848948374761,0.0,2.1822419928825623,0.0,2.8869995491329114e-05,0.0,0.00018844021404186757,0.0,-0.486923682671836,0.0
DDPG+PER,Transformer Max Power (kW),25,16.0,0.0,16.0,0.0,6.354255055452843,0.0,157.83012856409016,0.0,179.395,0.0,0.4831935342817502,5.551115123125783e-17,0.0,0.0,116524.80545837987,0.0,532.7500159479353,0.0,48.31935342817502,0.0,40.072516834805256,0.0,15.432098765432102,0.0,5.0,0.0,2.6911148484626572,0.0,143.05783757540252,0.0,-3.0806959194156973,4.440892098500626e-16,0.0032063239487036214,0.0,0.0003660206350548873,0.0,0.002840303313648733,4.336808689942018e-19,-576.9431152892456,0.0,0.0,0.0,0.21302072207132974,0.10428656577759506,63.8623326959847,7.105427357601002e-15,2.1484431137724553,0.0,2.2865601092092057e-05,3.3881317890172014e-21,0.0001775358593265338,0.0,0.3971409409658027,0.0
TQC,Transformer Max Power (kW),25,16.0,0.0,16.0,0.0,-25.877507191806988,0.0,398.47208828879405,0.0,276.78963074112886,0.0,0.6400506152963379,0.0,156.3988827640785,0.0,149880.58898330657,0.0,467.70212834639966,0.0,64.00506152963379,0.0,31.477376705670768,0.0,15.625,0.0,3.0,0.0,121.53033761700328,0.0,309.77981495393146,0.0,17.38320822109503,0.0,0.006115119695022653,0.0,0.0006202938095088063,0.0,0.005494825885513847,8.673617379884035e-19,-22477.639902047693,0.0,0.0,0.0,0.17982284228006998,0.0654688337525785,43.977055449330784,0.0,4.813732708541371,0.0,3.8747140233392275e-05,0.0,0.00034351948222551893,5.421010862427522e-20,-1.6173441994879367,0.0
Online_MPC_NonAdaptive,Transformer Max Power (kW),25,16.0,0.0,16.0,0.0,18.566568015715742,0.0,138.09523641845496,0.0,224.4,2.842170943040401e-14,0.4186760025140018,0.0,3.228830918562775,0.0,159435.30579693106,0.0,599.1043235528518,0.0,41.86760025140018,0.0,4.381331482370459,0.0,37.43827160493828,0.0,36.0,0.0,0.0,0.0,55.329069967936725,0.0,-12.329251940220717,0.0,0.002155738102517348,0.0,0.0002966107073566557,0.0,0.001859127395160692,2.168404344971009e-19,-959.107507111771,0.0,0.0,0.0,9.63602900505066,1.5163934938790642,17.208413001912046,0.0,9.973333333333334,0.0,1.85148876892051e-05,0.0,0.00011532482862088707,0.0,1.1604105009822339,0.0
Online_MPC_Adaptive,Transformer Max Power (kW),25,16.0,0.0,16.0,0.0,18.566568015715742,0.0,138.09523641845496,0.0,224.4,2.842170943040401e-14,0.4186760025140018,0.0,3.228830918562775,0.0,159435.30579693106,0.0,599.1043235528518,0.0,41.86760025140018,0.0,4.381331482370459,0.0,37.43827160493828,0.0,36.0,0.0,0.0,0.0,55.329069967936725,0.0,-12.329251940220717,0.0,0.002155738102517348,0.0,0.0002966107073566557,0.0,0.001859127395160692,2.168404344971009e-19,-959.107507111771,0.0,0.0,0.0,9.09873080253601,1.138752505738946,17.208413001912046,0.0,9.973333333333334,0.0,1.85148876892051e-05,0.0,0.00011532482862088707,0.0,1.1604105009822339,0.0
AFAP,Transformer Max Power (kW),50,16.0,0.0,16.0,0.0,-98.6953790347602,0.0,464.67299778112334,0.0,0.0,0.0,1.0,0.0,643.1303946214376,0.0,61677.66935543795,7.275957614183426e-12,368.077344041621,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,142.73612256159836,0.0,206.35294231387488,0.0,33.190928412937375,0.0,0.005380781954359333,8.673617379884035e-19,0.0009551547777394807,1.0842021724855044e-19,0.004425627176619852,0.0,-11683.254133412347,1.8189894035458565e-12,0.0,0.0,0.07661811510721843,0.01911516043046729,0.0,0.0,0.0,0.0,6.0016677824146525e-05,0.0,0.00027940089732436104,0.0,-6.168461189672512,0.0
